sce,species,iter,ts,n,bins
sce_37,BLBR,5,0,1,0.7198198032357581
sce_37,BLBR,5,0,0,0.7401960695822835
sce_37,BLBR,5,0,0,0.7605723359288088
sce_37,BLBR,5,0,0,0.780948602275334
sce_37,BLBR,5,0,0,0.8013248686218594
sce_37,BLBR,5,0,0,0.8217011349683847
sce_37,BLBR,5,0,0,0.84207740131491
sce_37,BLBR,5,0,0,0.8624536676614354
sce_37,BLBR,5,0,0,0.8828299340079607
sce_37,BLBR,5,0,0,0.9032062003544861
sce_37,BLBR,5,0,0,0.9235824667010113
sce_37,BLBR,5,0,0,0.9439587330475366
sce_37,BLBR,5,0,1,0.964334999394062
sce_37,BLBR,5,0,0,0.9847112657405873
sce_37,BLBR,5,0,1,1.0050875320871127
sce_37,BLBR,5,0,0,1.0254637984336379
sce_37,BLBR,5,0,0,1.0458400647801633
sce_37,BLBR,5,0,0,1.0662163311266886
sce_37,BLBR,5,0,0,1.086592597473214
sce_37,BLBR,5,0,0,1.1069688638197392
sce_37,BLBR,5,0,2,1.1273451301662645
sce_37,BLBR,5,0,0,1.14772139651279
sce_37,BLBR,5,0,1,1.1680976628593152
sce_37,BLBR,5,0,0,1.1884739292058406
sce_37,BLBR,5,0,0,1.2088501955523658
sce_37,BLBR,5,0,1,1.2292264618988913
sce_37,BLBR,5,0,0,1.2496027282454165
sce_37,BLBR,5,0,0,1.2699789945919417
sce_37,BLBR,5,0,1,1.2903552609384672
sce_37,BLBR,5,0,0,1.3107315272849924
sce_37,BLBR,5,0,3,1.3311077936315177
sce_37,BLBR,5,0,0,1.351484059978043
sce_37,BLBR,5,0,2,1.3718603263245686
sce_37,BLBR,5,0,1,1.3922365926710938
sce_37,BLBR,5,0,1,1.412612859017619
sce_37,BLBR,5,0,2,1.4329891253641445
sce_37,BLBR,5,0,0,1.4533653917106697
sce_37,BLBR,5,0,0,1.473741658057195
sce_37,BLBR,5,0,1,1.4941179244037204
sce_37,BLBR,5,0,1,1.5144941907502458
sce_37,BLBR,5,0,1,1.534870457096771
sce_37,BLBR,5,0,3,1.5552467234432963
sce_37,BLBR,5,0,2,1.5756229897898217
sce_37,BLBR,5,0,2,1.595999256136347
sce_37,BLBR,5,0,3,1.6163755224828722
sce_37,BLBR,5,0,2,1.6367517888293976
sce_37,BLBR,5,0,1,1.657128055175923
sce_37,BLBR,5,0,0,1.6775043215224483
sce_37,BLBR,5,0,2,1.6978805878689736
sce_37,BLBR,5,0,6,1.718256854215499
sce_37,BLBR,5,0,2,1.7386331205620242
sce_37,BLBR,5,0,2,1.7590093869085497
sce_37,BLBR,5,0,2,1.779385653255075
sce_37,BLBR,5,0,3,1.7997619196016001
sce_37,BLBR,5,0,0,1.8201381859481256
sce_37,BLBR,5,0,0,1.8405144522946508
sce_37,BLBR,5,0,5,1.8608907186411763
sce_37,BLBR,5,0,2,1.8812669849877015
sce_37,BLBR,5,0,2,1.9016432513342267
sce_37,BLBR,5,0,2,1.9220195176807522
sce_37,BLBR,5,0,4,1.9423957840272774
sce_37,BLBR,5,0,1,1.9627720503738029
sce_37,BLBR,5,0,5,1.983148316720328
sce_37,BLBR,5,0,3,2.0035245830668535
sce_37,BLBR,5,0,3,2.023900849413379
sce_37,BLBR,5,0,6,2.044277115759904
sce_37,BLBR,5,0,3,2.0646533821064295
sce_37,BLBR,5,0,4,2.085029648452955
sce_37,BLBR,5,0,8,2.10540591479948
sce_37,BLBR,5,0,5,2.1257821811460054
sce_37,BLBR,5,0,5,2.146158447492531
sce_37,BLBR,5,0,2,2.166534713839056
sce_37,BLBR,5,0,1,2.1869109801855813
sce_37,BLBR,5,0,3,2.2072872465321067
sce_37,BLBR,5,0,1,2.2276635128786317
sce_37,BLBR,5,0,2,2.2480397792251576
sce_37,BLBR,5,0,9,2.2684160455716826
sce_37,BLBR,5,0,2,2.2887923119182076
sce_37,BLBR,5,0,8,2.3091685782647335
sce_37,BLBR,5,0,12,2.3295448446112585
sce_37,BLBR,5,0,3,2.349921110957784
sce_37,BLBR,5,0,9,2.3702973773043094
sce_37,BLBR,5,0,7,2.3906736436508345
sce_37,BLBR,5,0,6,2.41104990999736
sce_37,BLBR,5,0,11,2.4314261763438854
sce_37,BLBR,5,0,5,2.4518024426904104
sce_37,BLBR,5,0,11,2.472178709036936
sce_37,BLBR,5,0,9,2.4925549753834613
sce_37,BLBR,5,0,6,2.5129312417299863
sce_37,BLBR,5,0,11,2.533307508076512
sce_37,BLBR,5,0,4,2.553683774423037
sce_37,BLBR,5,0,15,2.574060040769562
sce_37,BLBR,5,0,5,2.594436307116088
sce_37,BLBR,5,0,12,2.614812573462613
sce_37,BLBR,5,0,10,2.6351888398091385
sce_37,BLBR,5,0,12,2.655565106155664
sce_37,BLBR,5,0,11,2.675941372502189
sce_37,BLBR,5,0,14,2.6963176388487144
sce_37,BLBR,5,0,13,2.71669390519524
sce_37,BLBR,5,0,8,2.737070171541765
sce_37,BLBR,5,0,25,2.7574464378882904
sce_37,BLBR,5,0,13,2.777822704234816
sce_37,BLBR,5,0,13,2.7981989705813413
sce_37,BLBR,5,0,12,2.8185752369278663
sce_37,BLBR,5,0,22,2.8389515032743917
sce_37,BLBR,5,0,15,2.859327769620917
sce_37,BLBR,5,0,28,2.879704035967442
sce_37,BLBR,5,0,13,2.9000803023139676
sce_37,BLBR,5,0,12,2.920456568660493
sce_37,BLBR,5,0,26,2.940832835007018
sce_37,BLBR,5,0,24,2.9612091013535435
sce_37,BLBR,5,0,16,2.981585367700069
sce_37,BLBR,5,0,29,3.0019616340465944
sce_37,BLBR,5,0,20,3.0223379003931194
sce_37,BLBR,5,0,14,3.042714166739645
sce_37,BLBR,5,0,23,3.0630904330861703
sce_37,BLBR,5,0,16,3.0834666994326954
sce_37,BLBR,5,0,28,3.103842965779221
sce_37,BLBR,5,0,18,3.1242192321257463
sce_37,BLBR,5,0,24,3.1445954984722717
sce_37,BLBR,5,0,25,3.1649717648187967
sce_37,BLBR,5,0,26,3.185348031165322
sce_37,BLBR,5,0,24,3.2057242975118476
sce_37,BLBR,5,0,29,3.2261005638583726
sce_37,BLBR,5,0,26,3.246476830204898
