zone,mean,species,timestep
58,3.4712382554311896e-4,BLBR,1
59,8.584772832498092e-4,BLBR,1
60,6.991568520542793e-4,BLBR,1
61,5.682381697506065e-4,BLBR,1
62,7.791650222084383e-4,BLBR,1
63,2.3406786289223352e-4,BLBR,1
64,5.75115126593252e-4,BLBR,1
65,0.0010228564554714777,BLBR,1
66,6.848249588941514e-4,BLBR,1
67,5.049732595147756e-4,BLBR,1
68,3.957420276333782e-4,BLBR,1
69,6.033901920715261e-4,BLBR,1
70,5.364867906290496e-4,BLBR,1
71,7.39272463387374e-4,BLBR,1
72,6.831119848565107e-4,BLBR,1
73,4.3146506580404924e-4,BLBR,1
74,6.119544341077559e-4,BLBR,1
75,7.909771122741002e-4,BLBR,1
76,5.367058548386914e-4,BLBR,1
77,8.658969672760903e-4,BLBR,1
78,6.345463578573033e-4,BLBR,1
79,5.503087748433057e-4,BLBR,1
80,5.398619448163543e-4,BLBR,1
81,7.389847254783386e-4,BLBR,1
82,5.256525670218411e-4,BLBR,1
83,0.0010064271102815587,BLBR,1
84,6.640576174118481e-4,BLBR,1
85,7.145470459754535e-4,BLBR,1
86,4.616251679751219e-4,BLBR,1
87,2.7093486190011206e-4,BLBR,1
88,2.954018382902741e-4,BLBR,1
89,6.480825365131971e-4,BLBR,1
90,3.847075166912494e-4,BLBR,1
91,5.741675019719336e-4,BLBR,1
92,3.7099145777212813e-4,BLBR,1
93,4.6929743733858877e-4,BLBR,1
94,4.710597041166629e-4,BLBR,1
95,6.109601547371048e-4,BLBR,1
96,5.136344772150615e-4,BLBR,1
97,6.223292155364859e-4,BLBR,1
98,5.521095449126466e-4,BLBR,1
99,5.724029476256445e-4,BLBR,1
100,8.477658600232305e-4,BLBR,1
101,5.679108936739774e-4,BLBR,1
102,7.508031968293054e-4,BLBR,1
103,5.194711956918294e-4,BLBR,1
104,6.469100858991496e-4,BLBR,1
105,6.547284644267869e-4,BLBR,1
106,5.150999295477912e-4,BLBR,1
107,5.808379758882867e-4,BLBR,1
108,8.565803990615272e-4,BLBR,1
109,5.076664846930638e-4,BLBR,1
110,4.925680167617123e-4,BLBR,1
111,4.6997073994372825e-4,BLBR,1
112,6.579358671014413e-4,BLBR,1
113,5.50634711416078e-4,BLBR,1
114,5.39316168431606e-4,BLBR,1
115,6.494892417543861e-4,BLBR,1
116,5.050239862720306e-4,BLBR,1
117,5.353413745698232e-4,BLBR,1
118,5.565084800850088e-4,BLBR,1
119,5.947615837956958e-4,BLBR,1
120,0.0011556977336736442,BLBR,1
121,9.844363158476722e-4,BLBR,1
122,8.410255932261605e-4,BLBR,1
123,5.251203753052696e-4,BLBR,1
124,4.932186499945043e-4,BLBR,1
125,6.163063458722647e-4,BLBR,1
126,5.616768275678463e-4,BLBR,1
127,5.304771144871203e-4,BLBR,1
128,5.258431714187072e-4,BLBR,1
129,5.297418551629569e-4,BLBR,1
130,5.768334188537012e-4,BLBR,1
131,5.174458833192618e-4,BLBR,1
132,5.523212004162597e-4,BLBR,1
133,6.192368549020975e-4,BLBR,1
134,5.930373785046711e-4,BLBR,1
135,7.695978492650381e-4,BLBR,1
136,8.003021820558841e-4,BLBR,1
137,7.594729520905535e-4,BLBR,1
138,0.0010471042700223414,BLBR,1
139,7.343387058006687e-4,BLBR,1
140,6.113706875670736e-4,BLBR,1
141,6.245405680950724e-4,BLBR,1
142,5.279569277805051e-4,BLBR,1
143,9.63163599466076e-4,BLBR,1
144,7.994450597715455e-4,BLBR,1
145,5.884047182398776e-4,BLBR,1
146,5.281084360333968e-4,BLBR,1
147,3.820624215671163e-4,BLBR,1
148,3.729606840362477e-4,BLBR,1
149,5.278382869352674e-4,BLBR,1
150,5.799063748004036e-4,BLBR,1
151,5.280262569104261e-4,BLBR,1
152,4.6280137883073446e-4,BLBR,1
153,8.088140856867395e-4,BLBR,1
154,7.615968341905137e-4,BLBR,1
155,7.585581874811029e-4,BLBR,1
156,7.357529123696234e-4,BLBR,1
157,0.0012368127448312942,BLBR,1
158,5.190374791992501e-4,BLBR,1
159,8.76601848208498e-4,BLBR,1
160,5.71177841832517e-4,BLBR,1
161,6.972758595924636e-4,BLBR,1
162,9.751268255688405e-4,BLBR,1
163,5.339217757709279e-4,BLBR,1
164,7.459005683339572e-4,BLBR,1
165,9.379292508087446e-4,BLBR,1
166,9.91009307788718e-4,BLBR,1
167,3.214785734184546e-4,BLBR,1
168,4.896704307093185e-4,BLBR,1
169,5.739618841474687e-4,BLBR,1
170,5.418604064801972e-4,BLBR,1
171,0.0011366643051544025,BLBR,1
172,0.0012346402237008766,BLBR,1
173,9.015431530857528e-4,BLBR,1
174,6.684069613239704e-4,BLBR,1
175,0.0010020256884962168,BLBR,1
176,0.001142402594312372,BLBR,1
177,8.954507549013991e-4,BLBR,1
1,8.979106917861961e-4,BLBR,2
2,7.091304515003257e-4,BLBR,2
3,6.49517006768927e-4,BLBR,2
4,3.24098866254179e-4,BLBR,2
5,6.421425489859236e-4,BLBR,2
6,6.522674414459407e-4,BLBR,2
7,8.361028226704761e-4,BLBR,2
8,6.801640481126275e-4,BLBR,2
9,7.657023750619369e-4,BLBR,2
10,8.092217150808584e-4,BLBR,2
11,6.054067794522017e-4,BLBR,2
12,7.592428611406081e-4,BLBR,2
13,3.8330692748059225e-4,BLBR,2
14,6.373380595462426e-4,BLBR,2
15,6.641053640069596e-4,BLBR,2
16,8.417635401478489e-4,BLBR,2
17,6.598342185418443e-4,BLBR,2
18,7.960378676640358e-4,BLBR,2
19,7.416425927547942e-4,BLBR,2
20,6.546830746706081e-4,BLBR,2
21,7.231602735961114e-4,BLBR,2
22,6.217927626198514e-4,BLBR,2
23,6.846035994763318e-4,BLBR,2
24,6.630301335728758e-4,BLBR,2
25,6.682410283657042e-4,BLBR,2
26,6.85782648813887e-4,BLBR,2
27,6.772149476790608e-4,BLBR,2
28,5.654124794614355e-4,BLBR,2
29,7.305111524459344e-4,BLBR,2
30,8.08397502336632e-4,BLBR,2
31,7.317265555732281e-4,BLBR,2
32,5.538461764041405e-4,BLBR,2
33,6.177341193678242e-4,BLBR,2
34,6.313321866171709e-4,BLBR,2
35,5.604702625819572e-4,BLBR,2
36,9.329976320963846e-4,BLBR,2
37,8.370881746531696e-4,BLBR,2
38,4.3968153299450355e-4,BLBR,2
39,6.365569278705657e-4,BLBR,2
40,6.358516349085586e-4,BLBR,2
41,4.959521732169467e-4,BLBR,2
42,4.153709202337991e-4,BLBR,2
43,5.841569191680727e-4,BLBR,2
44,6.598672294143813e-4,BLBR,2
45,7.219901075559541e-4,BLBR,2
46,4.804400827524506e-4,BLBR,2
47,9.706130440941588e-4,BLBR,2
48,3.584401846641316e-4,BLBR,2
49,5.412115707479729e-4,BLBR,2
50,5.703225308869609e-4,BLBR,2
51,5.514384513599455e-4,BLBR,2
52,6.345832752396357e-4,BLBR,2
53,5.751331060751573e-4,BLBR,2
54,9.122259349886132e-4,BLBR,2
55,5.739895618063698e-4,BLBR,2
56,6.667920521939382e-4,BLBR,2
57,3.915187229791658e-4,BLBR,2
58,3.3237958683564626e-4,BLBR,2
59,8.532723907054923e-4,BLBR,2
60,7.069496441054386e-4,BLBR,2
61,5.703792994552701e-4,BLBR,2
62,7.535497680431853e-4,BLBR,2
63,2.361770315089741e-4,BLBR,2
64,5.599254625593736e-4,BLBR,2
65,0.0010266014842977731,BLBR,2
66,6.873418062151058e-4,BLBR,2
67,4.978996931747151e-4,BLBR,2
68,3.807612845712799e-4,BLBR,2
69,5.710632531279472e-4,BLBR,2
70,5.362182294218342e-4,BLBR,2
71,7.481415085393327e-4,BLBR,2
72,6.450712427442011e-4,BLBR,2
73,4.029266194134038e-4,BLBR,2
74,5.902848814326464e-4,BLBR,2
75,7.754843037418223e-4,BLBR,2
76,5.369304062213293e-4,BLBR,2
77,7.60806632715863e-4,BLBR,2
78,6.432017524434111e-4,BLBR,2
79,5.531870234005667e-4,BLBR,2
80,5.301451798530492e-4,BLBR,2
81,6.819838108307643e-4,BLBR,2
82,3.828391885635645e-4,BLBR,2
83,9.780678221919458e-4,BLBR,2
84,6.70249077025179e-4,BLBR,2
85,7.0721676449165e-4,BLBR,2
86,4.532462302077927e-4,BLBR,2
87,2.6637126262863076e-4,BLBR,2
88,2.6841315443982395e-4,BLBR,2
89,5.897672350419244e-4,BLBR,2
90,3.361170023701092e-4,BLBR,2
91,5.141050712868712e-4,BLBR,2
92,3.5826720001956466e-4,BLBR,2
93,3.850622051392064e-4,BLBR,2
94,4.6623129131306986e-4,BLBR,2
95,6.171055588216309e-4,BLBR,2
96,5.174694184064846e-4,BLBR,2
97,6.1697402445942e-4,BLBR,2
98,4.4637912586113705e-4,BLBR,2
99,6.035162080527878e-4,BLBR,2
100,8.337551206285018e-4,BLBR,2
101,5.648385876051733e-4,BLBR,2
102,7.585246839554723e-4,BLBR,2
103,5.138618287492385e-4,BLBR,2
104,5.987885129096675e-4,BLBR,2
105,6.456213773269273e-4,BLBR,2
106,5.21277779886924e-4,BLBR,2
107,5.823231097498394e-4,BLBR,2
108,8.157643888446058e-4,BLBR,2
109,5.054740997774111e-4,BLBR,2
110,4.914156155896684e-4,BLBR,2
111,4.591458868014006e-4,BLBR,2
112,6.448689898317665e-4,BLBR,2
113,5.368379502972539e-4,BLBR,2
114,5.20047982312263e-4,BLBR,2
115,6.57182472927486e-4,BLBR,2
116,5.079914124128848e-4,BLBR,2
117,5.327371695757248e-4,BLBR,2
118,5.496389982942911e-4,BLBR,2
119,5.899047596891789e-4,BLBR,2
120,0.0011739515610679101,BLBR,2
121,9.962239714149579e-4,BLBR,2
122,8.308982606345769e-4,BLBR,2
123,5.279659908695093e-4,BLBR,2
124,4.916260970531054e-4,BLBR,2
125,6.162960647476996e-4,BLBR,2
126,5.395648271055433e-4,BLBR,2
127,5.330104783084883e-4,BLBR,2
128,5.278635836360733e-4,BLBR,2
129,5.268045396150224e-4,BLBR,2
130,5.748576586482959e-4,BLBR,2
131,5.148017281049415e-4,BLBR,2
132,5.548762651834285e-4,BLBR,2
133,6.13596074041323e-4,BLBR,2
134,5.931929926383286e-4,BLBR,2
135,7.624250345284517e-4,BLBR,2
136,7.830094841461433e-4,BLBR,2
137,7.459057920784221e-4,BLBR,2
138,0.0010492970484932496,BLBR,2
139,7.348828678958112e-4,BLBR,2
140,6.080975551254386e-4,BLBR,2
141,6.253519201277506e-4,BLBR,2
142,5.318153449908741e-4,BLBR,2
143,9.705069904633803e-4,BLBR,2
144,7.983174242364091e-4,BLBR,2
145,5.901285949622958e-4,BLBR,2
146,5.345124003781641e-4,BLBR,2
147,3.391337917896333e-4,BLBR,2
148,3.455694085999926e-4,BLBR,2
149,5.286858919964087e-4,BLBR,2
150,5.824607450094419e-4,BLBR,2
151,5.351899276791114e-4,BLBR,2
152,4.618836518787158e-4,BLBR,2
153,8.117885458652123e-4,BLBR,2
154,7.630125327691166e-4,BLBR,2
155,7.62203421145358e-4,BLBR,2
156,7.425069583782943e-4,BLBR,2
157,0.0012408862388273271,BLBR,2
158,5.199901115121084e-4,BLBR,2
159,8.803289984526478e-4,BLBR,2
160,5.689594610615834e-4,BLBR,2
161,6.900206033609276e-4,BLBR,2
162,9.7980491847786e-4,BLBR,2
163,5.356484462398319e-4,BLBR,2
164,7.466361151078422e-4,BLBR,2
165,9.328542409712735e-4,BLBR,2
166,9.986474182255723e-4,BLBR,2
167,3.1162612419308763e-4,BLBR,2
168,4.717462562997518e-4,BLBR,2
169,5.706096325054275e-4,BLBR,2
170,5.347608666538686e-4,BLBR,2
171,0.0011412468636212588,BLBR,2
172,0.001242545182223906,BLBR,2
173,8.930740398967873e-4,BLBR,2
174,6.76194884819715e-4,BLBR,2
175,0.001014937102874981,BLBR,2
176,0.0011468801003236486,BLBR,2
177,9.074825915848555e-4,BLBR,2
1,6.701530610186944e-4,MAAM,0
2,5.63314711514343e-4,MAAM,0
3,5.409409982904796e-4,MAAM,0
4,3.4173356598028953e-4,MAAM,0
5,5.238087927843151e-4,MAAM,0
6,4.996017414888857e-4,MAAM,0
7,6.254258989699096e-4,MAAM,0
8,4.9433397168023e-4,MAAM,0
9,5.457006589925497e-4,MAAM,0
10,5.77274048000148e-4,MAAM,0
11,4.738117669379106e-4,MAAM,0
12,5.657697423472883e-4,MAAM,0
13,3.8628358448726974e-4,MAAM,0
14,4.7799107148239535e-4,MAAM,0
15,5.024657538192685e-4,MAAM,0
16,6.224368617271079e-4,MAAM,0
17,4.852724732302475e-4,MAAM,0
18,5.924475971864175e-4,MAAM,0
19,5.321962789347464e-4,MAAM,0
20,4.99744130848169e-4,MAAM,0
21,5.45256458582747e-4,MAAM,0
22,4.822948453280622e-4,MAAM,0
23,5.015665878607639e-4,MAAM,0
24,4.873733263987323e-4,MAAM,0
25,4.7145874998898017e-4,MAAM,0
26,4.906827632550506e-4,MAAM,0
27,5.405060398392266e-4,MAAM,0
28,4.867196630118937e-4,MAAM,0
29,5.143947873181561e-4,MAAM,0
30,5.722688048495609e-4,MAAM,0
31,5.228225936424484e-4,MAAM,0
32,4.5129701870243606e-4,MAAM,0
33,4.608291053612621e-4,MAAM,0
34,4.6611068775925454e-4,MAAM,0
35,4.888588106913028e-4,MAAM,0
36,6.776835985484004e-4,MAAM,0
37,5.617249360751269e-4,MAAM,0
38,4.198282997759576e-4,MAAM,0
39,4.7106982182070894e-4,MAAM,0
40,5.198104140293646e-4,MAAM,0
41,4.25092622160504e-4,MAAM,0
42,4.0281255637318543e-4,MAAM,0
43,4.5237732572231415e-4,MAAM,0
44,4.79801873325389e-4,MAAM,0
45,4.883543846799436e-4,MAAM,0
46,4.1513727051070617e-4,MAAM,0
47,5.547911824565822e-4,MAAM,0
48,3.653349456401448e-4,MAAM,0
49,4.3377429363508326e-4,MAAM,0
50,4.462011149902224e-4,MAAM,0
51,4.333498582669245e-4,MAAM,0
52,4.6759935353549344e-4,MAAM,0
53,4.467038643289975e-4,MAAM,0
54,6.96703381059732e-4,MAAM,0
55,4.4590711535856607e-4,MAAM,0
56,4.8552343572400995e-4,MAAM,0
57,4.0806794421058577e-4,MAAM,0
58,3.8197805496639655e-4,MAAM,0
59,5.436620664658684e-4,MAAM,0
60,5.098860607856532e-4,MAAM,0
61,4.3863804591928843e-4,MAAM,0
62,5.178159104903575e-4,MAAM,0
63,2.8956275564343025e-4,MAAM,0
64,4.2696149972138407e-4,MAAM,0
65,6.799215307944685e-4,MAAM,0
66,4.747382685713482e-4,MAAM,0
67,4.1410586752581936e-4,MAAM,0
68,3.680654765880593e-4,MAAM,0
69,4.6448034489643284e-4,MAAM,0
70,4.247028560549337e-4,MAAM,0
71,5.150967836455398e-4,MAAM,0
72,4.72370802770551e-4,MAAM,0
73,3.899294764942055e-4,MAAM,0
74,4.7504035753772884e-4,MAAM,0
75,5.133023800608739e-4,MAAM,0
76,4.2245501577727024e-4,MAAM,0
77,5.809474674195289e-4,MAAM,0
78,4.758290400609688e-4,MAAM,0
79,4.243438784026053e-4,MAAM,0
80,4.1942342171789974e-4,MAAM,0
81,5.326573826093973e-4,MAAM,0
82,4.32106035119219e-4,MAAM,0
83,6.685327793615984e-4,MAAM,0
84,4.7518040304159377e-4,MAAM,0
85,5.293571269850796e-4,MAAM,0
86,3.847850320373595e-4,MAAM,0
87,3.2479207547583095e-4,MAAM,0
88,3.4220758487127204e-4,MAAM,0
89,4.8523917241769464e-4,MAAM,0
90,3.642732586523076e-4,MAAM,0
91,4.79675005466072e-4,MAAM,0
92,3.788838164195806e-4,MAAM,0
93,4.0395843536640005e-4,MAAM,0
94,4.040965159150448e-4,MAAM,0
95,4.447444282924766e-4,MAAM,0
96,3.8691696668595747e-4,MAAM,0
97,4.411886189920118e-4,MAAM,0
98,4.466847333152124e-4,MAAM,0
99,4.451471692793708e-4,MAAM,0
100,7.896210293069374e-4,MAAM,0
101,4.3000495588943423e-4,MAAM,0
102,4.889097846800994e-4,MAAM,0
103,4.52650582805689e-4,MAAM,0
104,4.7376682156808925e-4,MAAM,0
105,5.185051517680426e-4,MAAM,0
106,4.2603081979167144e-4,MAAM,0
107,4.520125610293402e-4,MAAM,0
108,5.962438325793053e-4,MAAM,0
109,4.325889700448236e-4,MAAM,0
110,3.9534272033353145e-4,MAAM,0
111,4.2177868009396334e-4,MAAM,0
112,4.7080848963543405e-4,MAAM,0
113,4.4514226243029585e-4,MAAM,0
114,4.4317460333491757e-4,MAAM,0
115,4.4319163960903957e-4,MAAM,0
116,3.8862281444584554e-4,MAAM,0
117,4.3110738240784846e-4,MAAM,0
118,4.483390680513011e-4,MAAM,0
119,4.4075003724468553e-4,MAAM,0
120,7.156002508389419e-4,MAAM,0
121,7.597929427541397e-4,MAAM,0
122,5.858155758547357e-4,MAAM,0
123,3.99208707621735e-4,MAAM,0
124,4.1094867946278406e-4,MAAM,0
125,4.48425434246809e-4,MAAM,0
126,4.53628335148467e-4,MAAM,0
127,3.919231689706996e-4,MAAM,0
128,4.3973772170481467e-4,MAAM,0
129,3.908861037377737e-4,MAAM,0
130,4.532229856194425e-4,MAAM,0
131,3.926866825170106e-4,MAAM,0
132,3.975208586612441e-4,MAAM,0
133,4.6167004376981906e-4,MAAM,0
134,4.6348213279288414e-4,MAAM,0
135,5.655695112070597e-4,MAAM,0
136,4.899500098212649e-4,MAAM,0
137,5.263518792540824e-4,MAAM,0
138,6.728065869070779e-4,MAAM,0
139,5.039728061047851e-4,MAAM,0
140,4.571047343723306e-4,MAAM,0
141,4.510385126480983e-4,MAAM,0
142,3.9020704709344454e-4,MAAM,0
143,7.557620040788303e-4,MAAM,0
144,5.350289272697811e-4,MAAM,0
145,4.426230713556626e-4,MAAM,0
146,3.793875070095075e-4,MAAM,0
147,3.537124013735721e-4,MAAM,0
148,3.5637437194450976e-4,MAAM,0
149,3.943707311362457e-4,MAAM,0
150,4.668088805083459e-4,MAAM,0
151,3.932152063376477e-4,MAAM,0
152,3.822227686815901e-4,MAAM,0
153,5.038525070450248e-4,MAAM,0
154,4.989185693641861e-4,MAAM,0
155,5.196712058699417e-4,MAAM,0
156,5.07338761538496e-4,MAAM,0
157,6.381558520278933e-4,MAAM,0
158,3.8549912046056544e-4,MAAM,0
159,5.521826045506152e-4,MAAM,0
160,4.0532350855320554e-4,MAAM,0
161,4.5054786810902865e-4,MAAM,0
162,7.024102721928646e-4,MAAM,0
163,4.034263512265108e-4,MAAM,0
164,5.334079937805717e-4,MAAM,0
