timestep,value,mean_count,sd_count,new_class,area,scenario
2100,13,3657.3,20.138685822731002,decid_3,2962.4130000000005,41
2100,21,7004.5,24.780144381249183,mixt_1,5673.645,41
2100,22,70045.3,211.04609817657268,mixt_2,56736.69300000001,41
2100,23,3465.9,22.511478553543895,mixt_3,2807.3790000000004,41
2100,31,827.3,11.508933728002587,conif_1,670.113,41
2100,32,14634.8,52.46332052015008,conif_2,11854.188,41
2100,33,3517.7,16.892141499657303,conif_3,2849.337,41
2010,1,738488,0,Agriculture,598175.28,42
2010,2,103477,0,Urban,83816.37000000001,42
2010,4,76245,0,Roads,61758.450000000004,42
2010,5,24666,0,Water,19979.460000000003,42
2010,6,25524,0,Wetlands,20674.440000000002,42
2010,11,44121,0,decid_1,35738.01,42
2010,12,257125,0,decid_2,208271.25,42
2010,13,4486,0,decid_3,3633.6600000000003,42
2010,21,9130,0,mixt_1,7395.3,42
2010,22,82930,0,mixt_2,67173.3,42
2010,23,3980,0,mixt_3,3223.8,42
2010,31,1183,0,conif_1,958.23,42
2010,32,17296,0,conif_2,14009.76,42
2010,33,4067,0,conif_3,3294.2700000000004,42
2100,1,624784.8,309.956914568604,Agriculture,506075.6880000001,42
2100,2,213116.8,295.60363852820063,Urban,172624.608,42
2100,4,76245,0,Roads,61758.450000000004,42
2100,5,24666,0,Water,19979.460000000003,42
2100,6,25524,0,Wetlands,20674.440000000002,42
2100,11,7812.6,71.4254856476314,decid_1,6328.206000000001,42
2100,12,320791.2,517.2016155341272,decid_2,259840.87200000003,42
2100,13,5658.7,161.33956599531174,decid_3,4583.5470000000005,42
2100,21,2229.5,21.874642854227357,mixt_1,1805.8950000000002,42
2100,22,78337.1,389.6515394839628,mixt_2,63453.05100000001,42
2100,23,3677.3,45.791920684767085,mixt_3,2978.6130000000003,42
2100,31,451.1,17.00620801681289,conif_1,365.391,42
2100,32,6734.3,51.59683452822793,conif_2,5454.783,42
2100,33,2689.6,16.547574511759183,conif_3,2178.576,42
2010,1,738488,0,Agriculture,598175.28,43
2010,2,103477,0,Urban,83816.37000000001,43
2010,4,76245,0,Roads,61758.450000000004,43
2010,5,24666,0,Water,19979.460000000003,43
2010,6,25524,0,Wetlands,20674.440000000002,43
2010,11,44121,0,decid_1,35738.01,43
2010,12,257125,0,decid_2,208271.25,43
2010,13,4486,0,decid_3,3633.6600000000003,43
2010,21,9130,0,mixt_1,7395.3,43
2010,22,82930,0,mixt_2,67173.3,43
