"from_time","to_time","land_type","age_before","age_after","from_cover","to_cover","probability","area_transition"
0,20,2,1,1,1,1,1,48600
0,20,2,2,2,1,1,1,24300
0,20,2,3,3,1,1,1,8100
0,20,2,3,1,2,1,0.5,24300
0,20,2,3,2,2,1,0.333333333333333,16200
0,20,2,3,1,2,2,0.166666666666667,8100
0,20,2,2,3,3,3,1,48600
0,20,2,3,2,3,3,1,16200
0,20,3,1,1,1,1,1,24300
0,20,3,2,1,1,1,0.2,72900
0,20,3,2,2,1,1,0.755555555555556,275400
0,20,3,2,1,1,2,0.0222222222222222,8100
0,20,3,2,2,1,2,0.0222222222222222,8100
0,20,3,2,2,2,1,0.0714285714285714,8100
0,20,3,3,2,2,1,0.235294117647059,32400
0,20,3,2,2,2,2,0.857142857142857,97200
0,20,3,2,3,2,2,0.0714285714285714,8100
0,20,3,3,2,2,2,0.529411764705882,72900
0,20,3,3,3,2,2,0.235294117647059,32400
0,20,3,2,2,3,1,0.142857142857143,8100
0,20,3,2,1,3,2,0.285714285714286,16200
0,20,3,2,2,3,2,0.571428571428571,32400
0,20,4,1,1,1,1,0.787031068712131,49450500
0,20,4,1,2,1,1,0.19672553822354,12360600
0,20,4,2,1,1,1,0.133173014428701,33193800
0,20,4,2,2,1,1,0.815806577408033,203342400
0,20,4,2,3,1,1,0.0415637592616665,10359900
0,20,4,3,1,1,1,0.0894780447390224,2624400
0,20,4,3,2,1,1,0.773819386909693,22696200
0,20,4,3,3,1,1,0.135045567522784,3960900
0,20,4,1,1,1,2,0.01340724506897,842400
0,20,4,1,2,1,2,0.00283614799535903,178200
0,20,4,2,1,1,2,0.0032172104510594,801900
0,20,4,2,2,1,2,0.00623943845053945,1555200
0,20,4,3,1,1,2,0.000828500414250207,24300
0,20,4,3,2,1,2,0.000552333609500138,16200
0,20,4,3,3,1,2,0.000276166804750069,8100
0,20,4,1,1,2,1,0.175115207373272,1846800
0,20,4,1,2,2,1,0.0145929339477727,153900
0,20,4,2,1,2,1,0.0660294633461943,6099300
0,20,4,2,2,2,1,0.111276745001754,10278900
0,20,4,2,3,2,1,0.00263065591020694,243000
0,20,4,3,1,2,1,0.00158227848101266,8100
0,20,4,3,2,2,1,0.200949367088608,1028700
0,20,4,3,3,2,1,0.0332278481012658,170100
0,20,4,1,1,2,2,0.74347158218126,7840800
0,20,4,1,2,2,2,0.0668202764976959,704700
0,20,4,2,1,2,2,0.326990529638723,30204900
0,20,4,2,2,2,2,0.457471062784988,42257700
0,20,4,2,3,2,2,0.0299017888460189,2762100
0,20,4,3,1,2,2,0.00632911392405063,32400
0,20,4,3,2,2,2,0.655063291139241,3353400
0,20,4,3,3,2,2,0.102848101265823,526500
0,20,4,2,1,2,3,0.000350754121360926,32400
0,20,4,2,2,2,3,0.00429673798667134,396900
0,20,4,2,3,2,3,0.00105226236408278,97200
0,20,4,1,1,3,1,0.00153374233128834,8100
0,20,4,2,1,3,1,0.000453103760761214,8100
0,20,4,2,2,3,1,0.00181241504304486,32400
0,20,4,3,1,3,1,0.00222222222222222,24300
0,20,4,3,2,3,1,0.00962962962962963,105300
0,20,4,3,3,3,1,0.00222222222222222,24300
0,20,4,1,1,3,2,0.834355828220859,4406400
0,20,4,2,1,3,2,0.130040779338468,2324700
0,20,4,2,2,3,2,0.287720888083371,5143500
0,20,4,2,3,3,2,0.00226551880380607,40500
0,20,4,3,1,3,2,0.148888888888889,1628100
0,20,4,3,2,3,2,0.174074074074074,1903500
0,20,4,3,3,3,2,0.02,218700
0,20,4,1,1,3,3,0.156441717791411,826200
0,20,4,1,2,3,3,0.00766871165644172,40500
0,20,4,2,1,3,3,0.110104213864975,1968300
0,20,4,2,2,3,3,0.424558223833258,7589700
0,20,4,2,3,3,3,0.0430448572723154,769500
0,20,4,3,1,3,3,0.171111111111111,1871100
0,20,4,3,2,3,3,0.391851851851852,4284900
0,20,4,3,3,3,3,0.08,874800
0,20,5,1,1,1,1,0.758131487889273,35494200
0,20,5,1,2,1,1,0.232006920415225,10862100
0,20,5,2,1,1,1,0.134718498659517,24421500
0,20,5,2,2,1,1,0.81260053619303,147306600
0,20,5,2,3,1,1,0.0458445040214477,8310600
0,20,5,3,1,1,1,0.0594618055555556,1109700
0,20,5,3,2,1,1,0.758680555555556,14158800
0,20,5,3,3,1,1,0.181857638888889,3393900
0,20,5,1,1,1,2,0.00830449826989619,388800
0,20,5,1,2,1,2,0.00155709342560554,72900
0,20,5,2,1,1,2,0.00290437890974084,526500
0,20,5,2,2,1,2,0.00393208221626452,712800
0,20,5,1,1,2,1,0.0390243902439024,259200
0,20,5,2,1,2,1,0.0583237657864524,4114800
0,20,5,2,2,2,1,0.108955223880597,7686900
0,20,5,2,3,2,1,0.000229621125143513,16200
0,20,5,3,1,2,1,0.00263157894736842,8100
0,20,5,3,2,2,1,0.3,923400
0,20,5,3,3,2,1,0.0473684210526316,145800
0,20,5,1,1,2,2,0.881707317073171,5856300
0,20,5,1,2,2,2,0.0780487804878049,518400
0,20,5,2,1,2,2,0.312284730195178,22032000
0,20,5,2,2,2,2,0.476923076923077,33647400
0,20,5,2,3,2,2,0.0327210103329506,2308500
0,20,5,3,1,2,2,0.00789473684210526,24300
0,20,5,3,2,2,2,0.58421052631579,1798200
0,20,5,3,3,2,2,0.0578947368421053,178200
0,20,5,1,1,2,3,0.00121951219512195,8100
0,20,5,2,1,2,3,0.000229621125143513,16200
0,20,5,2,2,2,3,0.00895522388059702,631800
0,20,5,2,3,2,3,0.00137772675086108,97200
0,20,5,2,1,3,1,0.012301013024602,137700
0,20,5,2,2,3,1,0.00868306801736614,97200
0,20,5,3,2,3,1,0.0151515151515152,81000
0,20,5,3,3,3,1,0.00151515151515152,8100
0,20,5,1,1,3,2,0.856236786469345,3280500
0,20,5,2,1,3,2,0.188133140376266,2106000
0,20,5,2,2,3,2,0.270622286541245,3029400
0,20,5,2,3,3,2,0.00361794500723589,40500
0,20,5,3,1,3,2,0.096969696969697,518400
0,20,5,3,2,3,2,0.304545454545455,1628100
0,20,5,3,3,3,2,0.0257575757575758,137700
0,20,5,1,1,3,3,0.133192389006343,510300
0,20,5,1,2,3,3,0.0105708245243129,40500
0,20,5,2,1,3,3,0.133140376266281,1490400
0,20,5,2,2,3,3,0.348046309696093,3896100
0,20,5,2,3,3,3,0.0354558610709117,396900
0,20,5,3,1,3,3,0.124242424242424,664200
0,20,5,3,2,3,3,0.359090909090909,1919700
0,20,5,3,3,3,3,0.0727272727272727,388800
0,20,6,1,1,1,1,0.77143368534097,34911000
0,20,6,1,2,1,1,0.213173438339001,9647100
0,20,6,2,1,1,1,0.119580057436091,20574000
0,20,6,2,2,1,1,0.829104091144485,142649100
0,20,6,2,3,1,1,0.0445835883432983,7670700
0,20,6,3,1,1,1,0.070445158329509,2486700
0,20,6,3,2,1,1,0.777879761358421,27459000
0,20,6,3,3,1,1,0.150757228086278,5321700
0,20,6,1,1,1,2,0.00966529443350635,437400
0,20,6,1,2,1,2,0.00572758188652228,259200
0,20,6,2,1,1,2,0.00183607174803446,315900
0,20,6,2,2,1,2,0.0048961913280919,842400
0,20,6,3,1,1,2,0.000458926112895824,16200
0,20,6,3,2,1,2,0.000229463056447912,8100
