scenario,timestep,iter,species,kp_nb
39,9,10,MAAM,1093
45,4,4,PLCI,1103
43,3,3,MAAM,1289
46,4,3,MAAM,1291
41,9,4,PLCI,812
40,6,2,RASY,1032
38,2,6,BLBR,1218
46,3,3,URAM,1058
42,9,5,RASY,718
38,6,5,PLCI,1051
40,3,6,MAAM,1305
47,8,5,URAM,821
51,2,8,RASY,1077
52,11,6,PLCI,734
37,0,1,BLBR,1158
42,10,2,PLCI,726
46,9,5,MAAM,1185
47,11,1,MAAM,1145
49,9,10,RASY,777
43,11,1,RASY,640
47,7,6,BLBR,963
49,9,1,MAAM,1109
44,11,1,MAAM,1186
46,2,2,MAAM,1325
52,4,6,MAAM,1241
47,9,9,PLCI,809
44,5,3,URAM,1058
51,3,5,RASY,1000
48,5,2,MAAM,1206
51,9,10,RASY,774
43,3,8,PLCI,1031
52,10,5,BLBR,823
50,5,2,URAM,915
52,2,6,BLBR,1218
50,5,4,URAM,915
51,3,1,URAM,966
47,8,10,URAM,814
41,7,3,MAAM,1130
45,11,2,PLCI,982
50,9,10,BLBR,952
41,11,2,PLCI,728
44,5,4,RASY,1039
49,11,1,URAM,759
46,9,1,MAAM,1170
38,4,10,RASY,1036
38,5,9,BLBR,1149
43,2,8,BLBR,1218
51,8,5,PLCI,891
41,4,5,PLCI,987
50,10,10,URAM,814
52,7,7,URAM,924
52,4,3,PLCI,1005
46,8,1,RASY,978
47,4,8,URAM,967
45,6,7,MAAM,1244
47,10,4,BLBR,854
44,7,8,RASY,1023
51,2,2,URAM,1078
39,9,5,RASY,929
52,8,9,BLBR,919
48,7,3,BLBR,911
46,8,3,MAAM,1204
45,5,8,BLBR,1155
40,2,6,RASY,1077
45,10,9,PLCI,980
46,4,6,PLCI,1120
45,9,4,BLBR,1046
52,7,10,URAM,898
47,4,1,MAAM,1239
50,2,6,MAAM,1325
51,6,2,BLBR,954
41,6,8,URAM,864
49,6,9,BLBR,987
44,3,1,PLCI,1129
41,2,1,URAM,1078
52,4,1,PLCI,1018
48,2,7,URAM,1078
39,5,2,RASY,1013
43,4,6,PLCI,962
38,10,4,URAM,1123
38,5,3,MAAM,1230
42,6,7,PLCI,868
48,6,2,RASY,880
49,2,10,URAM,1078
46,2,1,MAAM,1325
52,4,7,URAM,925
40,6,8,RASY,985
49,3,8,RASY,964
45,11,4,RASY,961
42,10,9,BLBR,747
51,3,7,URAM,970
50,2,9,BLBR,1218
49,3,2,RASY,977
44,2,9,RASY,1077
49,10,3,RASY,748
37,1,4,MAAM,1355
46,2,4,RASY,1077
40,6,10,MAAM,1172
44,9,10,BLBR,1100
45,2,2,BLBR,1218
40,8,10,MAAM,1095
42,9,9,RASY,744
49,6,7,PLCI,919
50,11,9,PLCI,773
50,9,6,RASY,794
49,2,2,BLBR,1218
51,5,10,BLBR,1035
49,10,8,PLCI,771
52,4,6,BLBR,1080
45,10,8,RASY,1004
39,2,9,RASY,1077
45,9,9,BLBR,1041
51,7,6,MAAM,1178
50,6,7,BLBR,1000
49,2,7,RASY,1077
48,9,4,BLBR,820
42,6,9,BLBR,938
41,6,7,MAAM,1178
39,5,1,RASY,1012
49,8,5,PLCI,813
38,6,8,RASY,1010
41,4,3,BLBR,1116
46,3,10,BLBR,1209
45,6,9,BLBR,1114
48,5,2,URAM,870
38,10,1,MAAM,1131
47,9,4,BLBR,923
42,7,2,PLCI,838
42,5,3,URAM,870
38,4,3,RASY,1038
44,9,8,RASY,982
42,5,3,RASY,877
52,11,5,RASY,710
43,6,5,BLBR,919
39,8,7,PLCI,1028
41,11,8,PLCI,682
45,4,2,MAAM,1271
40,10,6,URAM,1157
50,7,1,URAM,887
49,7,4,MAAM,1172
50,8,1,URAM,888
41,9,8,BLBR,805
39,8,7,RASY,967
40,11,1,BLBR,961
45,4,10,URAM,1073
42,5,9,MAAM,1222
41,6,6,BLBR,963
51,7,5,BLBR,973
52,10,1,URAM,822
45,4,5,PLCI,1086
44,7,9,MAAM,1245
47,4,9,RASY,928
51,3,6,MAAM,1308
46,5,9,PLCI,1093
38,6,2,BLBR,1139
43,3,1,MAAM,1300
42,2,5,URAM,1078
52,2,10,BLBR,1218
49,8,7,PLCI,816
48,10,8,RASY,746
41,5,10,PLCI,943
48,3,4,MAAM,1292
48,5,8,BLBR,1034
42,6,9,URAM,876
52,5,8,MAAM,1235
47,4,4,PLCI,985
41,6,1,MAAM,1167
43,10,1,BLBR,734
45,7,5,URAM,1117
44,4,5,URAM,1070
39,3,6,MAAM,1291
48,5,10,URAM,901
42,2,5,BLBR,1218
44,5,2,MAAM,1258
52,8,5,PLCI,885
37,0,3,PLCI,1096
41,2,8,PLCI,1134
42,4,7,URAM,964
38,9,9,PLCI,994
41,4,5,URAM,944
39,7,3,BLBR,1060
43,5,3,URAM,858
50,10,8,MAAM,1148
48,8,3,URAM,831
52,11,7,BLBR,783
50,10,10,PLCI,842
40,6,1,PLCI,1004
47,9,3,MAAM,1176
37,2,3,URAM,977
38,2,9,PLCI,1134
42,8,7,MAAM,1065
45,11,6,PLCI,972
39,3,3,BLBR,1208
