scenario,timestep,iter,species,kp_nb
49,9,8,URAM,810
51,10,8,URAM,800
42,6,1,BLBR,923
49,8,9,URAM,821
40,7,9,MAAM,1159
52,3,10,RASY,1012
40,7,1,PLCI,999
49,2,6,URAM,1078
39,9,6,MAAM,1107
41,8,1,RASY,757
46,6,9,BLBR,1139
38,8,2,URAM,1117
48,2,7,RASY,1077
48,8,10,URAM,816
43,2,8,URAM,1078
43,7,5,MAAM,1073
40,2,8,RASY,1077
39,3,5,BLBR,1202
43,4,3,BLBR,1077
48,6,8,PLCI,895
52,11,1,PLCI,771
41,10,4,RASY,703
39,11,7,MAAM,1101
52,4,2,URAM,929
42,3,6,URAM,996
47,11,3,PLCI,764
49,8,4,URAM,833
41,6,3,URAM,842
39,9,9,PLCI,971
37,2,7,RASY,1016
48,10,4,URAM,778
47,4,5,BLBR,1081
52,6,10,MAAM,1249
51,8,5,RASY,839
44,10,10,MAAM,1211
47,9,9,BLBR,902
52,9,8,URAM,833
52,4,5,RASY,936
49,11,1,MAAM,1052
43,5,1,MAAM,1192
41,5,8,MAAM,1211
40,4,6,MAAM,1292
51,3,1,BLBR,1131
50,10,5,PLCI,789
42,2,2,BLBR,1218
43,6,10,URAM,855
49,7,1,RASY,860
46,7,2,RASY,990
40,11,10,MAAM,1072
46,8,9,PLCI,1026
45,9,5,URAM,1097
37,1,6,BLBR,1169
44,5,5,URAM,1085
47,11,7,BLBR,807
42,7,10,RASY,780
41,8,5,PLCI,792
50,6,8,PLCI,961
51,11,2,URAM,736
50,7,7,MAAM,1211
41,4,6,URAM,971
45,10,1,BLBR,1031
46,8,8,URAM,1110
48,8,2,MAAM,1144
40,2,4,BLBR,1218
42,7,5,PLCI,815
39,4,5,URAM,1085
47,6,10,RASY,853
39,8,8,BLBR,1046
49,6,10,RASY,863
52,6,5,URAM,910
39,10,3,MAAM,1146
43,9,6,PLCI,735
45,5,1,PLCI,1065
46,9,1,PLCI,1013
47,6,5,URAM,869
48,11,2,PLCI,711
41,7,7,RASY,804
44,11,9,PLCI,996
51,2,9,PLCI,1134
47,5,8,MAAM,1263
44,6,10,RASY,1020
50,5,6,RASY,935
46,4,5,BLBR,1193
39,3,6,URAM,1087
39,10,5,URAM,1119
40,3,5,PLCI,1128
40,3,1,BLBR,1202
44,3,1,BLBR,1203
52,7,2,RASY,856
40,4,7,RASY,1030
47,10,7,BLBR,837
48,3,2,RASY,996
43,5,1,BLBR,982
52,5,4,PLCI,965
41,5,9,BLBR,1025
39,11,10,RASY,904
38,10,8,PLCI,960
40,3,2,PLCI,1129
49,11,7,PLCI,729
45,11,7,RASY,976
49,9,2,MAAM,1109
40,8,6,BLBR,1033
43,4,8,RASY,919
48,8,4,PLCI,827
44,8,9,PLCI,1065
52,7,6,MAAM,1208
47,4,9,PLCI,1003
42,7,3,PLCI,851
47,5,3,PLCI,928
44,11,3,RASY,948
48,2,5,BLBR,1218
39,5,5,MAAM,1254
40,10,4,MAAM,1068
41,11,9,PLCI,691
40,4,2,BLBR,1194
43,10,3,URAM,737
45,4,2,PLCI,1093
39,7,10,PLCI,1015
43,5,4,URAM,861
52,8,10,MAAM,1174
50,11,7,MAAM,1114
43,11,10,PLCI,703
41,6,9,PLCI,844
51,4,8,BLBR,1118
49,9,5,URAM,793
42,5,8,RASY,847
48,9,1,BLBR,833
45,7,1,RASY,1026
39,5,4,MAAM,1218
42,4,2,RASY,963
48,2,9,MAAM,1325
44,7,7,RASY,1020
49,6,8,MAAM,1189
48,4,6,MAAM,1243
44,3,6,RASY,1052
51,2,4,PLCI,1134
41,6,8,PLCI,856
39,8,3,RASY,975
38,10,8,RASY,943
40,4,10,RASY,1018
40,2,10,MAAM,1325
42,4,9,PLCI,997
44,6,4,URAM,1123
49,9,10,URAM,816
37,2,9,MAAM,1307
41,10,5,PLCI,700
49,4,6,RASY,942
50,8,5,URAM,849
38,10,7,MAAM,1139
40,3,7,PLCI,1102
48,2,7,BLBR,1218
43,8,9,URAM,785
48,7,4,MAAM,1134
42,5,2,BLBR,1006
45,5,5,PLCI,1056
41,10,9,PLCI,721
44,3,4,MAAM,1317
51,6,1,URAM,862
40,7,8,BLBR,1060
51,11,1,RASY,700
48,3,1,BLBR,1118
46,6,8,RASY,1034
42,9,6,PLCI,803
46,10,9,MAAM,1144
38,11,4,MAAM,1120
47,9,3,RASY,772
45,6,6,PLCI,1043
52,9,7,PLCI,846
46,7,8,RASY,1016
51,7,1,RASY,825
51,3,2,PLCI,1039
45,11,5,MAAM,1158
50,11,3,RASY,687
51,4,7,URAM,944
40,8,10,URAM,1121
41,8,9,URAM,779
39,11,1,BLBR,987
52,6,10,PLCI,962
47,6,6,URAM,900
49,11,4,URAM,738
46,9,8,MAAM,1195
43,10,9,RASY,661
49,11,9,URAM,759
38,7,1,RASY,966
41,10,8,RASY,668
41,2,2,MAAM,1325
50,7,1,PLCI,913
49,5,9,URAM,899
43,2,6,PLCI,1134
50,7,2,MAAM,1212
41,10,4,BLBR,817
43,6,6,MAAM,1142
39,10,7,PLCI,995
44,2,7,RASY,1077
39,5,10,RASY,1014
51,3,9,RASY,1007
39,2,7,URAM,1078
51,11,10,MAAM,1109
40,11,2,BLBR,992
50,2,1,MAAM,1325
46,7,8,PLCI,1030
46,4,8,PLCI,1094
45,6,9,MAAM,1221
41,8,8,BLBR,859
45,4,6,PLCI,1073
49,11,6,MAAM,1049
50,11,9,URAM,703
47,5,9,MAAM,1225
48,7,1,RASY,833
52,9,2,RASY,797
40,4,5,URAM,1086
38,4,5,PLCI,1114
39,11,6,MAAM,1072
47,9,9,MAAM,1136
41,11,6,RASY,660
45,11,7,MAAM,1173
48,2,4,URAM,1078
41,2,4,RASY,1077
49,4,9,PLCI,1031
40,11,2,PLCI,943
51,4,10,MAAM,1240
46,5,1,PLCI,1077
43,5,8,PLCI,919
39,5,5,PLCI,1048
38,8,9,MAAM,1171
42,7,7,PLCI,831
43,3,2,RASY,992
39,9,4,RASY,950
43,6,3,BLBR,901
52,3,2,PLCI,1063
48,9,10,MAAM,1124
45,4,4,MAAM,1303
48,10,4,RASY,732
52,9,3,PLCI,842
50,2,7,PLCI,1134
42,3,1,PLCI,1052
39,8,5,RASY,950
47,6,3,BLBR,1037
47,11,2,RASY,705
49,11,3,RASY,701
44,4,5,MAAM,1312
42,5,1,PLCI,879
46,7,8,BLBR,1102
38,9,10,PLCI,996
44,9,7,RASY,979
43,4,7,PLCI,948
52,2,5,URAM,1078
40,4,2,MAAM,1266
49,9,8,BLBR,823
51,9,4,MAAM,1165
50,9,6,URAM,829
48,4,9,URAM,902
51,10,1,MAAM,1126
50,9,9,RASY,724
52,6,7,PLCI,939
46,5,6,URAM,1091
51,7,4,URAM,904
39,2,6,BLBR,1218
49,5,7,MAAM,1216
40,11,3,URAM,1142
46,2,6,RASY,1077
49,5,2,URAM,868
47,8,6,URAM,851
40,6,7,BLBR,1068
48,10,10,PLCI,768
51,5,1,PLCI,989
40,2,2,MAAM,1325
38,6,1,MAAM,1229
44,11,5,RASY,955
42,8,4,MAAM,1036
48,5,9,MAAM,1201
52,8,4,MAAM,1132
51,6,4,BLBR,1001
37,2,7,URAM,1002
46,9,1,URAM,1114
47,6,5,PLCI,876
50,11,2,PLCI,743
52,3,9,BLBR,1165
44,4,7,URAM,1072
43,8,7,URAM,809
41,5,5,RASY,897
39,9,3,RASY,941
52,9,4,PLCI,814
47,9,4,PLCI,854
45,5,4,RASY,1029
39,4,2,PLCI,1105
51,10,10,MAAM,1151
52,8,3,PLCI,907
39,2,7,RASY,1077
47,10,5,MAAM,1144
47,3,1,BLBR,1154
38,5,2,URAM,1093
46,11,6,MAAM,1125
48,4,8,MAAM,1254
49,11,5,URAM,759
38,3,10,URAM,1076
45,9,1,URAM,1113
50,2,9,MAAM,1325
37,1,10,URAM,1002
46,5,7,RASY,1029
41,2,7,URAM,1078
46,2,8,MAAM,1325
41,9,5,MAAM,1058
44,8,10,MAAM,1251
44,5,9,PLCI,1094
42,6,10,URAM,857
45,7,7,BLBR,1106
50,9,1,RASY,801
44,4,6,BLBR,1210
39,4,1,RASY,1024
48,11,8,BLBR,741
39,5,10,BLBR,1105
40,5,6,URAM,1079
47,4,6,MAAM,1295
37,2,7,PLCI,1101
40,2,10,BLBR,1218
38,6,10,BLBR,1115
47,2,8,RASY,1077
42,2,3,RASY,1077
51,9,5,RASY,777
46,3,7,BLBR,1195
47,10,6,BLBR,853
48,10,3,BLBR,787
46,11,6,PLCI,976
48,4,6,URAM,931
52,7,6,BLBR,951
52,5,3,URAM,906
39,6,10,URAM,1090
50,2,4,URAM,1078
43,3,3,BLBR,1113
43,9,10,BLBR,799
52,7,5,RASY,842
45,5,8,URAM,1081
43,7,8,RASY,798
43,11,8,PLCI,706
45,7,10,BLBR,1105
43,8,10,MAAM,1011
45,5,6,MAAM,1286
46,8,6,MAAM,1199
42,5,4,URAM,864
40,2,4,RASY,1077
49,7,5,MAAM,1192
45,8,8,URAM,1129
49,3,10,PLCI,1024
38,3,3,MAAM,1283
44,5,3,PLCI,1083
42,6,4,RASY,789
52,11,1,BLBR,768
43,9,8,PLCI,767
47,5,7,PLCI,939
39,9,5,URAM,1112
43,2,7,PLCI,1134
44,8,9,BLBR,1129
43,7,7,MAAM,1077
50,3,6,URAM,983
40,9,1,PLCI,960
44,5,8,BLBR,1185
49,6,3,PLCI,892
52,6,10,URAM,923
40,3,3,RASY,1060
42,3,1,BLBR,1120
51,7,10,URAM,898
49,10,5,MAAM,1062
38,11,6,BLBR,992
40,4,3,URAM,1089
48,9,1,RASY,763
40,7,3,MAAM,1153
46,8,10,URAM,1100
49,6,9,URAM,895
47,6,9,RASY,840
52,6,5,BLBR,1006
39,10,8,MAAM,1119
42,6,9,MAAM,1150
50,7,10,PLCI,900
52,10,4,BLBR,821
41,8,9,RASY,762
46,8,8,BLBR,1068
47,6,1,RASY,820
42,9,7,MAAM,1020
38,6,5,BLBR,1141
52,6,1,PLCI,950
45,10,4,MAAM,1184
46,2,4,MAAM,1325
44,3,1,RASY,1043
41,5,10,URAM,909
41,9,1,BLBR,851
41,10,8,PLCI,708
43,6,7,PLCI,832
39,6,9,RASY,996
43,10,4,PLCI,721
39,10,7,BLBR,1009
50,4,10,MAAM,1253
50,5,8,RASY,937
37,1,5,MAAM,1343
39,3,1,URAM,1073
40,5,7,BLBR,1131
48,5,10,RASY,881
47,4,5,RASY,928
42,6,3,BLBR,923
51,5,5,URAM,949
50,5,1,PLCI,1001
42,8,1,PLCI,778
47,7,5,PLCI,860
46,4,9,RASY,1044
39,10,10,RASY,931
48,7,2,MAAM,1181
47,9,1,BLBR,891
38,2,4,BLBR,1218
45,4,2,RASY,1028
41,7,10,URAM,809
51,4,9,BLBR,1092
37,2,4,MAAM,1335
38,4,1,URAM,1073
47,5,3,BLBR,1047
52,6,7,MAAM,1198
40,8,2,PLCI,1029
47,8,7,MAAM,1152
45,11,9,MAAM,1159
44,3,4,URAM,1053
42,3,4,RASY,974
40,9,8,BLBR,988
39,9,8,RASY,959
41,5,2,BLBR,1039
49,6,10,MAAM,1188
47,8,6,BLBR,948
39,8,4,BLBR,1050
49,3,9,PLCI,1056
42,3,10,PLCI,1051
51,7,5,PLCI,912
45,11,3,PLCI,994
50,7,1,BLBR,985
38,11,8,RASY,912
49,2,1,URAM,1078
39,3,3,PLCI,1115
38,11,6,PLCI,963
40,11,10,PLCI,922
43,4,1,RASY,975
49,7,5,URAM,871
44,11,2,MAAM,1180
40,2,10,PLCI,1134
39,6,6,RASY,993
43,10,8,BLBR,749
45,2,2,PLCI,1134
37,2,5,RASY,988
38,9,4,RASY,963
48,6,4,MAAM,1202
50,3,8,MAAM,1292
40,8,2,MAAM,1180
51,6,2,RASY,902
42,8,6,BLBR,888
51,10,4,RASY,740
39,6,3,PLCI,1039
46,2,1,URAM,1078
48,11,6,BLBR,748
51,10,6,RASY,770
51,3,2,MAAM,1286
44,8,4,RASY,1003
48,4,5,RASY,928
48,8,9,MAAM,1132
48,6,4,RASY,865
45,2,8,URAM,1078
49,2,1,MAAM,1325
50,6,3,PLCI,965
52,8,4,RASY,812
45,9,8,RASY,1030
47,2,2,MAAM,1325
37,0,7,RASY,975
38,4,8,RASY,1044
44,8,9,MAAM,1226
48,4,1,MAAM,1265
48,9,5,MAAM,1157
52,6,8,BLBR,961
49,6,4,PLCI,915
43,10,3,RASY,675
52,8,8,RASY,818
50,9,1,URAM,858
49,8,4,BLBR,872
49,2,9,MAAM,1325
43,11,1,URAM,750
40,5,5,URAM,1108
51,4,1,PLCI,1034
45,3,3,RASY,1056
39,2,10,RASY,1077
49,9,7,RASY,763
43,3,9,PLCI,1038
48,6,1,PLCI,894
37,1,8,MAAM,1345
48,6,8,MAAM,1200
41,10,1,PLCI,775
47,7,5,BLBR,934
45,3,7,MAAM,1319
52,5,7,RASY,947
45,10,2,BLBR,1044
52,11,2,RASY,700
45,2,3,PLCI,1134
39,11,10,PLCI,915
39,10,1,BLBR,986
38,6,2,URAM,1085
48,5,1,MAAM,1225
42,5,2,PLCI,948
48,11,9,PLCI,751
42,11,6,MAAM,958
42,2,2,MAAM,1325
40,11,5,URAM,1121
41,11,10,URAM,740
43,3,4,RASY,967
46,7,4,MAAM,1228
44,9,4,RASY,1012
51,3,5,MAAM,1306
41,2,1,PLCI,1134
52,11,8,RASY,690
47,3,4,BLBR,1173
47,10,3,BLBR,874
49,3,5,MAAM,1303
46,10,9,PLCI,995
42,5,9,URAM,911
48,9,10,URAM,819
47,9,2,BLBR,866
49,9,6,MAAM,1092
39,9,6,BLBR,1013
42,10,4,URAM,736
43,6,9,URAM,851
43,7,2,RASY,768
47,3,2,BLBR,1146
48,2,4,PLCI,1134
38,8,3,MAAM,1152
51,10,4,BLBR,799
46,9,4,MAAM,1165
50,6,10,BLBR,1047
43,5,5,URAM,852
39,6,6,MAAM,1240
41,2,3,MAAM,1325
46,8,6,BLBR,1113
40,9,6,URAM,1164
43,10,6,MAAM,991
49,5,1,URAM,889
38,10,2,RASY,925
42,9,6,BLBR,833
46,8,3,RASY,1029
39,10,8,URAM,1130
48,7,6,BLBR,909
43,10,8,URAM,775
42,11,2,PLCI,686
43,3,9,RASY,1012
44,11,6,BLBR,1008
48,7,3,URAM,857
51,4,5,MAAM,1246
42,3,8,MAAM,1267
38,4,7,RASY,1031
38,4,1,RASY,1013
41,2,10,RASY,1077
39,10,3,URAM,1142
38,6,8,BLBR,1128
50,3,9,URAM,971
45,10,9,MAAM,1144
49,8,8,PLCI,809
40,10,2,BLBR,981
52,3,5,URAM,944
42,8,9,RASY,781
47,5,5,MAAM,1241
50,2,8,RASY,1077
50,4,3,URAM,982
47,2,6,PLCI,1134
48,9,3,RASY,771
48,10,5,RASY,709
45,11,2,RASY,958
45,4,10,BLBR,1179
47,7,8,URAM,826
46,11,4,MAAM,1120
50,3,4,PLCI,1029
40,4,4,RASY,1009
38,7,9,BLBR,1076
40,2,4,URAM,1078
39,6,3,RASY,995
50,6,9,BLBR,1046
43,11,9,PLCI,689
41,5,7,MAAM,1189
41,8,2,PLCI,815
52,10,8,URAM,786
41,6,10,MAAM,1168
47,6,6,MAAM,1215
45,11,1,URAM,1111
51,3,3,BLBR,1179
46,6,3,BLBR,1134
44,4,2,PLCI,1105
45,7,2,RASY,1029
47,6,10,URAM,866
48,4,5,URAM,921
50,7,3,RASY,829
44,8,2,PLCI,1057
39,10,1,URAM,1131
48,2,1,BLBR,1218
42,4,5,BLBR,1078
47,5,7,RASY,885
38,5,6,BLBR,1162
38,11,3,RASY,934
49,10,8,MAAM,1061
41,11,10,PLCI,681
45,5,1,RASY,1009
47,11,5,MAAM,1132
50,5,4,BLBR,1090
43,9,2,MAAM,1022
47,6,7,URAM,856
47,7,2,BLBR,994
39,2,1,BLBR,1218
47,8,9,PLCI,847
41,6,8,MAAM,1142
49,2,8,BLBR,1218
44,11,4,MAAM,1161
50,8,8,MAAM,1211
40,9,7,RASY,956
39,8,3,PLCI,995
41,2,9,URAM,1078
48,8,4,URAM,824
46,9,9,RASY,1006
44,5,9,BLBR,1200
41,9,4,BLBR,878
50,9,8,RASY,766
48,10,3,RASY,744
49,9,7,PLCI,782
45,6,8,BLBR,1111
48,11,8,RASY,708
52,4,10,URAM,941
52,6,5,PLCI,968
52,8,10,RASY,807
47,2,3,PLCI,1134
39,2,7,PLCI,1134
38,10,5,PLCI,946
47,8,4,URAM,819
50,11,8,BLBR,845
39,9,10,BLBR,1002
38,3,2,BLBR,1206
38,10,7,BLBR,1054
51,7,8,MAAM,1211
51,11,7,BLBR,769
45,9,3,RASY,1016
51,8,8,BLBR,910
50,2,6,PLCI,1134
41,10,3,RASY,687
45,9,6,BLBR,1021
44,5,5,BLBR,1192
51,3,5,BLBR,1149
45,3,5,BLBR,1220
43,11,3,RASY,679
40,6,3,RASY,983
43,4,6,BLBR,1088
46,6,10,URAM,1116
49,10,1,URAM,770
40,4,10,MAAM,1281
50,2,8,MAAM,1325
39,7,4,URAM,1098
49,6,9,MAAM,1199
45,2,3,MAAM,1325
47,7,1,BLBR,969
37,1,7,RASY,991
40,3,5,BLBR,1194
52,2,2,URAM,1078
40,2,3,RASY,1077
52,4,2,MAAM,1228
41,2,7,PLCI,1134
49,7,3,RASY,797
42,5,7,RASY,896
48,3,4,RASY,997
40,3,3,URAM,1102
51,4,4,RASY,970
45,10,4,PLCI,968
40,8,2,URAM,1137
52,6,9,PLCI,955
52,6,1,MAAM,1181
40,7,7,PLCI,1006
40,2,6,URAM,1078
50,4,2,MAAM,1304
43,9,9,PLCI,743
48,3,4,PLCI,1036
46,2,10,RASY,1077
46,7,7,MAAM,1212
48,7,2,PLCI,850
45,11,5,PLCI,974
40,7,7,MAAM,1146
41,6,4,BLBR,985
41,6,3,BLBR,986
44,9,5,BLBR,1083
40,10,5,BLBR,977
48,6,7,URAM,861
46,10,6,RASY,990
45,5,2,MAAM,1296
42,8,9,PLCI,810
46,11,3,RASY,979
41,9,9,URAM,733
50,11,7,RASY,682
41,2,2,BLBR,1218
52,3,1,RASY,1011
47,7,3,RASY,824
50,3,2,URAM,947
38,8,5,MAAM,1190
51,10,2,PLCI,776
41,10,4,URAM,731
43,11,9,URAM,731
39,2,10,URAM,1078
46,5,6,PLCI,1098
48,4,8,BLBR,1105
51,2,4,RASY,1077
45,7,8,BLBR,1116
49,7,8,BLBR,901
42,2,10,BLBR,1218
38,11,9,BLBR,993
42,5,6,URAM,946
49,4,9,URAM,989
46,4,3,PLCI,1101
43,3,5,RASY,962
50,7,1,MAAM,1197
38,8,7,RASY,981
52,10,3,MAAM,1126
52,2,6,MAAM,1325
38,9,1,BLBR,1061
42,3,8,PLCI,1052
44,9,6,BLBR,1071
41,8,5,RASY,734
52,4,8,PLCI,998
50,4,9,MAAM,1287
46,7,1,RASY,1005
38,11,8,PLCI,968
50,3,3,URAM,981
43,9,2,RASY,721
41,4,6,BLBR,1109
38,3,4,URAM,1060
38,10,9,BLBR,1001
40,6,1,RASY,989
41,5,6,MAAM,1209
51,2,5,RASY,1077
48,3,5,BLBR,1118
47,11,2,URAM,739
44,7,10,URAM,1131
46,6,6,MAAM,1262
42,3,8,URAM,961
39,7,7,BLBR,1056
50,10,7,RASY,739
47,2,3,MAAM,1325
51,7,5,RASY,874
44,7,7,PLCI,1076
41,2,8,MAAM,1325
39,11,4,BLBR,978
48,4,2,BLBR,1091
38,9,1,PLCI,1013
48,11,3,URAM,753
41,6,10,PLCI,886
49,4,9,MAAM,1262
41,3,6,BLBR,1187
41,9,6,URAM,812
49,10,1,PLCI,776
48,4,6,BLBR,1084
38,8,3,URAM,1100
39,3,7,PLCI,1099
48,11,4,PLCI,782
39,2,8,PLCI,1134
49,11,2,BLBR,781
42,7,3,BLBR,890
41,6,9,BLBR,957
50,7,8,PLCI,921
47,8,1,URAM,819
44,5,5,RASY,1028
50,10,5,URAM,770
43,4,10,BLBR,1050
47,8,2,PLCI,828
46,11,9,PLCI,968
43,10,3,PLCI,705
41,8,5,BLBR,869
46,9,5,PLCI,999
41,7,1,URAM,842
43,5,4,PLCI,930
39,9,7,URAM,1162
38,8,10,RASY,921
40,2,3,BLBR,1218
37,2,9,BLBR,1152
51,10,4,PLCI,776
44,2,6,BLBR,1218
40,7,3,URAM,1106
46,3,1,RASY,1042
39,7,7,URAM,1098
43,11,6,URAM,711
45,8,4,BLBR,1062
40,2,5,RASY,1077
52,8,1,RASY,836
46,11,3,URAM,1120
52,5,3,PLCI,957
46,8,2,PLCI,1029
47,7,7,RASY,812
52,6,3,PLCI,915
49,5,6,URAM,877
46,6,5,RASY,1020
41,5,10,MAAM,1195
38,5,3,BLBR,1153
46,6,9,URAM,1093
49,7,2,MAAM,1153
48,11,7,URAM,740
44,9,10,URAM,1141
43,8,4,MAAM,1071
49,3,1,MAAM,1272
40,8,9,BLBR,1028
49,10,10,BLBR,812
47,9,10,RASY,765
44,11,1,URAM,1083
46,5,8,PLCI,1082
48,2,9,URAM,1078
47,2,5,BLBR,1218
46,11,7,BLBR,1034
39,8,6,PLCI,1007
47,4,10,BLBR,1079
41,5,10,BLBR,988
47,4,2,URAM,921
38,7,7,MAAM,1218
45,8,9,BLBR,1062
46,10,4,RASY,986
46,8,4,RASY,1000
39,2,4,URAM,1078
42,11,2,URAM,720
50,9,4,URAM,864
48,10,2,RASY,714
45,11,4,MAAM,1167
41,11,8,URAM,742
40,9,10,RASY,943
50,7,5,BLBR,977
38,8,2,PLCI,1039
44,10,5,URAM,1141
44,4,2,URAM,1052
42,9,2,URAM,784
43,5,10,BLBR,976
49,4,7,URAM,925
42,2,5,RASY,1077
45,10,2,PLCI,994
39,11,7,URAM,1174
44,7,9,BLBR,1155
46,11,1,BLBR,1010
44,4,10,BLBR,1210
47,8,2,BLBR,945
42,4,3,URAM,934
41,9,1,MAAM,1093
42,11,7,URAM,721
45,6,5,PLCI,1050
41,10,1,URAM,758
46,10,8,PLCI,1013
47,8,6,RASY,812
46,4,6,BLBR,1180
49,7,6,MAAM,1132
51,7,9,BLBR,928
52,9,6,MAAM,1144
49,7,6,PLCI,855
38,8,10,PLCI,1007
41,5,8,BLBR,1045
44,2,3,RASY,1077
52,3,4,MAAM,1290
39,3,8,RASY,1055
38,8,9,URAM,1137
40,7,10,BLBR,1030
46,10,8,MAAM,1165
47,8,4,MAAM,1177
41,8,7,BLBR,911
50,8,6,BLBR,935
40,8,3,BLBR,1009
42,9,5,MAAM,1018
51,11,4,RASY,689
42,6,4,MAAM,1147
44,3,8,RASY,1042
51,2,1,BLBR,1218
48,6,1,MAAM,1226
44,11,10,MAAM,1220
40,7,6,URAM,1088
48,9,7,BLBR,803
43,4,1,PLCI,976
41,8,8,MAAM,1056
49,9,6,PLCI,791
49,5,9,PLCI,987
46,10,3,MAAM,1142
43,4,8,URAM,942
39,6,9,BLBR,1088
40,6,3,PLCI,1010
51,2,6,URAM,1078
48,9,10,PLCI,826
40,6,2,URAM,1116
45,2,4,MAAM,1325
41,2,7,MAAM,1325
44,2,4,URAM,1078
48,4,4,BLBR,1102
50,5,10,RASY,955
45,9,4,PLCI,1019
38,4,8,MAAM,1282
49,2,7,MAAM,1325
51,8,4,URAM,860
52,11,7,RASY,721
46,3,3,BLBR,1182
48,9,10,BLBR,847
45,9,7,BLBR,1061
45,10,1,MAAM,1186
40,10,7,URAM,1155
51,9,2,RASY,787
40,9,5,RASY,955
39,11,5,MAAM,1059
40,3,8,PLCI,1117
52,10,9,MAAM,1097
45,11,10,MAAM,1178
44,2,2,URAM,1078
45,6,2,RASY,1037
51,10,6,BLBR,821
50,9,4,MAAM,1187
44,5,2,BLBR,1209
47,2,10,PLCI,1134
46,4,9,PLCI,1110
38,9,9,URAM,1138
50,9,8,PLCI,845
41,10,7,RASY,678
44,9,6,PLCI,1026
50,9,2,BLBR,897
52,5,6,PLCI,968
51,8,8,MAAM,1199
46,4,5,PLCI,1095
47,5,9,BLBR,1017
51,8,9,RASY,807
48,8,2,PLCI,825
48,4,10,PLCI,992
41,3,10,URAM,991
47,11,1,RASY,724
42,10,6,PLCI,735
46,2,1,RASY,1077
46,2,10,BLBR,1218
38,5,4,RASY,1010
40,11,10,BLBR,932
37,2,8,MAAM,1312
37,0,1,PLCI,1096
38,5,9,MAAM,1261
49,11,9,MAAM,1040
49,7,2,PLCI,870
38,8,1,PLCI,1016
48,6,4,PLCI,895
42,2,1,BLBR,1218
50,9,5,RASY,789
41,8,9,PLCI,777
38,6,5,MAAM,1207
39,3,1,PLCI,1106
42,9,3,URAM,812
45,9,7,RASY,1001
50,4,3,BLBR,1119
43,10,10,MAAM,968
39,7,8,MAAM,1181
39,5,9,MAAM,1229
48,7,9,URAM,869
51,3,8,RASY,1007
46,5,7,BLBR,1143
45,8,2,RASY,1011
52,3,5,PLCI,1088
52,11,6,RASY,683
44,5,1,BLBR,1195
50,8,1,PLCI,887
47,6,5,BLBR,969
44,5,2,RASY,997
46,2,3,BLBR,1218
45,2,6,BLBR,1218
44,9,10,RASY,992
41,6,5,MAAM,1128
52,8,10,PLCI,877
51,10,8,MAAM,1136
48,11,1,RASY,709
40,11,2,URAM,1181
41,5,2,RASY,870
49,5,4,BLBR,1038
46,10,3,RASY,989
48,10,4,PLCI,749
38,6,10,URAM,1066
42,11,6,BLBR,692
40,4,9,URAM,1084
43,10,7,PLCI,700
38,11,10,PLCI,952
38,4,2,RASY,1063
44,8,7,BLBR,1094
52,9,9,URAM,868
51,10,2,MAAM,1096
39,11,3,BLBR,949
42,8,4,PLCI,770
48,2,4,MAAM,1325
44,8,6,MAAM,1224
49,9,1,RASY,780
40,10,8,PLCI,968
41,5,3,BLBR,1059
43,4,9,PLCI,1012
42,2,10,MAAM,1325
49,9,9,RASY,758
45,3,2,RASY,1049
47,2,1,MAAM,1325
52,11,5,URAM,709
42,9,5,URAM,785
49,9,3,MAAM,1064
51,2,7,PLCI,1134
49,4,4,MAAM,1245
45,3,4,RASY,1044
43,9,6,BLBR,761
52,5,9,RASY,931
45,6,3,URAM,1089
50,2,4,PLCI,1134
43,8,3,MAAM,1078
48,8,2,URAM,818
37,0,1,URAM,973
46,4,10,PLCI,1095
52,2,8,URAM,1078
52,5,2,MAAM,1223
52,2,3,URAM,1078
52,10,5,RASY,748
41,9,6,BLBR,883
50,8,9,RASY,776
46,6,3,PLCI,1054
47,3,3,BLBR,1138
39,3,2,PLCI,1110
48,2,8,MAAM,1325
47,6,8,BLBR,1004
44,5,6,BLBR,1186
48,6,3,RASY,840
51,11,8,PLCI,745
38,4,9,BLBR,1176
48,10,2,PLCI,741
45,11,3,RASY,959
48,4,7,BLBR,1070
45,7,5,MAAM,1226
37,2,2,MAAM,1313
48,9,7,URAM,780
42,7,8,MAAM,1098
39,3,7,URAM,1071
46,2,10,URAM,1078
43,11,7,BLBR,656
43,2,5,BLBR,1218
52,9,3,URAM,868
52,4,8,URAM,927
49,9,3,BLBR,792
40,9,9,URAM,1154
40,3,5,URAM,1087
47,2,1,BLBR,1218
48,8,5,PLCI,815
44,11,9,URAM,1111
37,1,10,MAAM,1340
50,8,10,RASY,849
42,2,2,RASY,1077
50,3,8,PLCI,1066
41,4,10,MAAM,1223
41,11,8,RASY,617
41,3,10,MAAM,1286
41,3,2,PLCI,1064
49,8,8,MAAM,1125
40,7,3,BLBR,1045
41,4,1,BLBR,1090
43,5,2,MAAM,1180
49,10,4,RASY,741
49,2,6,BLBR,1218
50,9,3,PLCI,826
46,11,7,MAAM,1140
49,8,6,BLBR,845
52,3,3,PLCI,1044
42,4,7,PLCI,976
51,2,5,BLBR,1218
48,8,8,MAAM,1119
41,2,1,BLBR,1218
51,9,4,RASY,799
50,3,2,RASY,997
44,2,8,PLCI,1134
42,3,5,URAM,1029
