TransitionGroupID,Timestep,TertiaryStratumID,Amount,srcClassID,destClassID
mixt_1_to_mixt_3 [Type],0,3,0,21,23
mixt_2_to_mixt_3 [Type],0,3,0.15484574527148365,22,23
conif_1_to_mixt_3 [Type],0,3,0,31,23
conif_2_to_mixt_3 [Type],0,3,0,32,23
conif_3_to_mixt_3 [Type],0,3,0,33,23
decid_1_to_conif_1 [Type],0,3,0,11,31
decid_2_to_conif_1 [Type],0,3,0,12,31
decid_3_to_conif_1 [Type],0,3,0,13,31
mixt_1_to_conif_1 [Type],0,3,0,21,31
mixt_2_to_conif_1 [Type],0,3,0,22,31
mixt_3_to_conif_1 [Type],0,3,0,23,31
conif_2_to_conif_1 [Type],0,3,0,32,31
conif_3_to_conif_1 [Type],0,3,0,33,31
decid_1_to_conif_2 [Type],0,3,0,11,32
decid_2_to_conif_2 [Type],0,3,0,12,32
decid_3_to_conif_2 [Type],0,3,0,13,32
mixt_1_to_conif_2 [Type],0,3,0,21,32
mixt_2_to_conif_2 [Type],0,3,0,22,32
mixt_3_to_conif_2 [Type],0,3,0,23,32
conif_1_to_conif_2 [Type],0,3,0,31,32
conif_3_to_conif_2 [Type],0,3,0,33,32
decid_1_to_conif_3 [Type],0,3,0,11,33
decid_2_to_conif_3 [Type],0,3,0,12,33
decid_3_to_conif_3 [Type],0,3,0,13,33
mixt_1_to_conif_3 [Type],0,3,0,21,33
mixt_2_to_conif_3 [Type],0,3,0,22,33
mixt_3_to_conif_3 [Type],0,3,0,23,33
conif_1_to_conif_3 [Type],0,3,0,31,33
conif_2_to_conif_3 [Type],0,3,0,32,33
decid_2_to_decid_1 [Type],0,4,0.06770885717483566,12,11
decid_3_to_decid_1 [Type],0,4,0.04174396647139256,13,11
mixt_1_to_decid_1 [Type],0,4,0.09941135481613972,21,11
mixt_2_to_decid_1 [Type],0,4,0.036622916443924236,22,11
mixt_3_to_decid_1 [Type],0,4,0,23,11
conif_1_to_decid_1 [Type],0,4,0.003072203880919666,31,11
conif_2_to_decid_1 [Type],0,4,0.0015871226418042728,32,11
conif_3_to_decid_1 [Type],0,4,0.0022246968602822603,33,11
decid_1_to_decid_2 [Type],0,4,0.10403192104596881,11,12
decid_3_to_decid_2 [Type],0,4,0.5177838144570861,13,12
mixt_1_to_decid_2 [Type],0,4,0.006936499911826766,21,12
mixt_2_to_decid_2 [Type],0,4,0.06096013870476835,22,12
mixt_3_to_decid_2 [Type],0,4,0.14039308365223646,23,12
conif_1_to_decid_2 [Type],0,4,0,31,12
conif_2_to_decid_2 [Type],0,4,0.0011334017016116915,32,12
conif_3_to_decid_2 [Type],0,4,0.007435047372120307,33,12
decid_1_to_decid_3 [Type],0,4,0,11,13
decid_2_to_decid_3 [Type],0,4,0.022547181323388066,12,13
mixt_1_to_decid_3 [Type],0,4,0,21,13
mixt_2_to_decid_3 [Type],0,4,0.0014040020963870248,22,13
mixt_3_to_decid_3 [Type],0,4,0.02402272282105855,23,13
conif_1_to_decid_3 [Type],0,4,0,31,13
conif_2_to_decid_3 [Type],0,4,0,32,13
conif_3_to_decid_3 [Type],0,4,0.0025959621022106916,33,13
decid_1_to_mixt_1 [Type],0,4,0.006401824669104772,11,21
decid_2_to_mixt_1 [Type],0,4,0.0014146233535665687,12,21
decid_3_to_mixt_1 [Type],0,4,1.380929372046813e-4,13,21
mixt_2_to_mixt_1 [Type],0,4,0.17075127077088925,22,21
mixt_3_to_mixt_1 [Type],0,4,0.0023762409821215247,23,21
conif_1_to_mixt_1 [Type],0,4,0.5836913603639926,31,21
conif_2_to_mixt_1 [Type],0,4,0.06971607395703161,32,21
conif_3_to_mixt_1 [Type],0,4,0.07744316646013016,33,21
decid_1_to_mixt_2 [Type],0,4,0.001354533469153596,11,22
decid_2_to_mixt_2 [Type],0,4,0.002945322774444814,12,22
decid_3_to_mixt_2 [Type],0,4,2.7620494933711104e-4,13,22
