StratumID,TransitionGroupID,Amount,Timestep,TertiaryStratumID
Not_Monteregie,Deforestation [Type],0,NA,NA
Not_Monteregie,Agricultural Loss [Type],0,NA,NA
Not_Monteregie,Agricultural Expansion [Type],0,NA,NA
Not_Monteregie,Reforestation [Type],0,NA,NA
PA,Agricultural Expansion [Type],0,NA,NA
PA,Agricultural Loss [Type],0,NA,NA
PA,Deforestation [Type],0,NA,NA
PA,Reforestation [Type],0,NA,NA
NA,decid_2_to_decid_1 [Type],0.07472412340443191,2,lty_4
NA,decid_3_to_decid_1 [Type],0.04825049536118664,2,lty_4
NA,mixt_1_to_decid_1 [Type],0.10069150989848652,2,lty_4
NA,mixt_2_to_decid_1 [Type],0.037670238991236005,2,lty_4
NA,mixt_3_to_decid_1 [Type],0,2,lty_4
NA,conif_1_to_decid_1 [Type],0.001534920321484945,2,lty_4
NA,conif_2_to_decid_1 [Type],0.0015871226418042728,2,lty_4
NA,conif_3_to_decid_1 [Type],0.0022246968602822603,2,lty_4
NA,decid_1_to_decid_2 [Type],0.08728207219988826,2,lty_4
NA,decid_3_to_decid_2 [Type],0.5270358239279047,2,lty_4
NA,mixt_1_to_decid_2 [Type],0.0038476479731924806,2,lty_4
NA,mixt_2_to_decid_2 [Type],0.05797668444823356,2,lty_4
NA,mixt_3_to_decid_2 [Type],0.14964638777577655,2,lty_4
NA,conif_1_to_decid_2 [Type],0,2,lty_4
NA,conif_2_to_decid_2 [Type],9.066185000747851e-4,2,lty_4
NA,conif_3_to_decid_2 [Type],0.00780826225751885,2,lty_4
NA,decid_1_to_decid_3 [Type],0,2,lty_4
NA,decid_2_to_decid_3 [Type],0.018863738593211665,2,lty_4
NA,mixt_1_to_decid_3 [Type],0,2,lty_4
NA,mixt_2_to_decid_3 [Type],0.0015796411792518006,2,lty_4
NA,mixt_3_to_decid_3 [Type],0.020785641703681468,2,lty_4
NA,conif_1_to_decid_3 [Type],0,2,lty_4
NA,conif_2_to_decid_3 [Type],0,2,lty_4
NA,conif_3_to_decid_3 [Type],0.0022246968602822603,2,lty_4
NA,decid_1_to_mixt_1 [Type],0.006920946008265982,2,lty_4
NA,decid_2_to_mixt_1 [Type],0.0017563845074832773,2,lty_4
NA,decid_3_to_mixt_1 [Type],4.143360443038535e-4,2,lty_4
NA,mixt_2_to_mixt_1 [Type],0.18359292070922117,2,lty_4
NA,mixt_3_to_mixt_1 [Type],0.0023762409821215247,2,lty_4
NA,conif_1_to_mixt_1 [Type],0.6006139681285936,2,lty_4
NA,conif_2_to_mixt_1 [Type],0.08123326883362714,2,lty_4
NA,conif_3_to_mixt_1 [Type],0.09201076854158452,2,lty_4
NA,decid_1_to_mixt_2 [Type],0.0016127482030190432,2,lty_4
NA,decid_2_to_mixt_2 [Type],0.004086733641463058,2,lty_4
NA,decid_3_to_mixt_2 [Type],0,2,lty_4
NA,mixt_1_to_mixt_2 [Type],0.028042973774306645,2,lty_4
NA,mixt_3_to_mixt_2 [Type],0.34276181994922417,2,lty_4
NA,conif_1_to_mixt_2 [Type],0,2,lty_4
NA,conif_2_to_mixt_2 [Type],0.15953062933457662,2,lty_4
NA,conif_3_to_mixt_2 [Type],0.1072306921510815,2,lty_4
NA,decid_1_to_mixt_3 [Type],0,2,lty_4
NA,decid_2_to_mixt_3 [Type],0,2,lty_4
NA,decid_3_to_mixt_3 [Type],0,2,lty_4
NA,mixt_1_to_mixt_3 [Type],0,2,lty_4
NA,mixt_2_to_mixt_3 [Type],0.01266348604320644,2,lty_4
NA,conif_1_to_mixt_3 [Type],0,2,lty_4
NA,conif_2_to_mixt_3 [Type],0.0011334017016116915,2,lty_4
NA,conif_3_to_mixt_3 [Type],0.010424707635008024,2,lty_4
NA,decid_1_to_conif_1 [Type],0,2,lty_4
NA,decid_2_to_conif_1 [Type],0,2,lty_4
NA,decid_3_to_conif_1 [Type],0,2,lty_4
NA,mixt_1_to_conif_1 [Type],0,2,lty_4
NA,mixt_2_to_conif_1 [Type],2.6310020187880756e-4,2,lty_4
NA,mixt_3_to_conif_1 [Type],0,2,lty_4
NA,conif_2_to_conif_1 [Type],0.0451990958050138,2,lty_4
NA,conif_3_to_conif_1 [Type],0.07343725602713824,2,lty_4
NA,decid_1_to_conif_2 [Type],0,2,lty_4
NA,decid_2_to_conif_2 [Type],0,2,lty_4
NA,decid_3_to_conif_2 [Type],0,2,lty_4
NA,mixt_1_to_conif_2 [Type],0,2,lty_4
NA,mixt_2_to_conif_2 [Type],0.0019749421308653536,2,lty_4
NA,mixt_3_to_conif_2 [Type],0,2,lty_4
NA,conif_1_to_conif_2 [Type],0.006153904596041926,2,lty_4
NA,conif_3_to_conif_2 [Type],0.20464310363674276,2,lty_4
