StratumID,TransitionGroupID,Amount,Timestep,TertiaryStratumID
NA,mixt_1_to_mixt_3 [Type],0,0,5
NA,mixt_2_to_mixt_3 [Type],0,0,5
NA,conif_1_to_mixt_3 [Type],0,0,5
NA,conif_2_to_mixt_3 [Type],0,0,5
NA,conif_3_to_mixt_3 [Type],0,0,5
NA,decid_1_to_conif_1 [Type],0,0,5
NA,decid_2_to_conif_1 [Type],0,0,5
NA,decid_3_to_conif_1 [Type],0,0,5
NA,mixt_1_to_conif_1 [Type],0,0,5
NA,mixt_2_to_conif_1 [Type],0,0,5
NA,mixt_3_to_conif_1 [Type],0,0,5
NA,conif_2_to_conif_1 [Type],0,0,5
NA,conif_3_to_conif_1 [Type],0,0,5
NA,decid_1_to_conif_2 [Type],0,0,5
NA,decid_2_to_conif_2 [Type],0,0,5
NA,decid_3_to_conif_2 [Type],0,0,5
NA,mixt_1_to_conif_2 [Type],0,0,5
NA,mixt_2_to_conif_2 [Type],0,0,5
NA,mixt_3_to_conif_2 [Type],0,0,5
NA,conif_1_to_conif_2 [Type],0,0,5
NA,conif_3_to_conif_2 [Type],0,0,5
NA,decid_1_to_conif_3 [Type],0,0,5
NA,decid_2_to_conif_3 [Type],0,0,5
NA,decid_3_to_conif_3 [Type],0,0,5
NA,mixt_1_to_conif_3 [Type],0,0,5
NA,mixt_2_to_conif_3 [Type],0,0,5
NA,mixt_3_to_conif_3 [Type],0,0,5
NA,conif_1_to_conif_3 [Type],0,0,5
NA,conif_2_to_conif_3 [Type],0,0,5
NA,decid_2_to_decid_1 [Type],0,0,6
NA,decid_3_to_decid_1 [Type],0,0,6
NA,mixt_1_to_decid_1 [Type],0,0,6
NA,mixt_2_to_decid_1 [Type],0,0,6
NA,mixt_3_to_decid_1 [Type],0,0,6
NA,conif_1_to_decid_1 [Type],0,0,6
NA,conif_2_to_decid_1 [Type],0,0,6
NA,conif_3_to_decid_1 [Type],0,0,6
NA,decid_1_to_decid_2 [Type],0,0,6
NA,decid_3_to_decid_2 [Type],0,0,6
NA,mixt_1_to_decid_2 [Type],0,0,6
NA,mixt_2_to_decid_2 [Type],0,0,6
NA,mixt_3_to_decid_2 [Type],0,0,6
NA,conif_1_to_decid_2 [Type],0,0,6
NA,conif_2_to_decid_2 [Type],0,0,6
NA,conif_3_to_decid_2 [Type],0,0,6
NA,decid_1_to_decid_3 [Type],0,0,6
NA,decid_2_to_decid_3 [Type],0,0,6
NA,mixt_1_to_decid_3 [Type],0,0,6
NA,mixt_2_to_decid_3 [Type],0,0,6
NA,mixt_3_to_decid_3 [Type],0,0,6
NA,conif_1_to_decid_3 [Type],0,0,6
NA,conif_2_to_decid_3 [Type],0,0,6
NA,conif_3_to_decid_3 [Type],0,0,6
NA,decid_1_to_mixt_1 [Type],0,0,6
NA,decid_2_to_mixt_1 [Type],0,0,6
NA,decid_3_to_mixt_1 [Type],0,0,6
NA,mixt_2_to_mixt_1 [Type],0,0,6
NA,mixt_3_to_mixt_1 [Type],0,0,6
NA,conif_1_to_mixt_1 [Type],0,0,6
NA,conif_2_to_mixt_1 [Type],0,0,6
NA,conif_3_to_mixt_1 [Type],0,0,6
NA,decid_1_to_mixt_2 [Type],0,0,6
NA,decid_2_to_mixt_2 [Type],0,0,6
NA,decid_3_to_mixt_2 [Type],0,0,6
NA,mixt_1_to_mixt_2 [Type],0,0,6
NA,mixt_3_to_mixt_2 [Type],0,0,6
NA,conif_1_to_mixt_2 [Type],0,0,6
NA,conif_2_to_mixt_2 [Type],0,0,6
NA,conif_3_to_mixt_2 [Type],0,0,6
