StratumID,TransitionGroupID,Amount,Timestep,TertiaryStratumID,srcClassID,destClassID
NA,mixt_3_to_decid_2 [Type],0.1744220525181035,0,5,23,12
NA,conif_1_to_decid_2 [Type],0,0,5,31,12
NA,conif_2_to_decid_2 [Type],0.0039876903451037116,0,5,32,12
NA,conif_3_to_decid_2 [Type],0.008368347957098954,0,5,33,12
NA,decid_1_to_decid_3 [Type],0,0,5,11,13
NA,decid_2_to_decid_3 [Type],0.021956869759180764,0,5,12,13
NA,mixt_1_to_decid_3 [Type],0,0,5,21,13
NA,mixt_2_to_decid_3 [Type],1.1481715406114201e-4,0,5,22,13
NA,mixt_3_to_decid_3 [Type],0.029378929160357337,0,5,23,13
NA,conif_1_to_decid_3 [Type],0,0,5,31,13
NA,conif_2_to_decid_3 [Type],0,0,5,32,13
NA,conif_3_to_decid_3 [Type],0.003034908364694111,0,5,33,13
NA,decid_1_to_mixt_1 [Type],0.005377782069300396,0,5,11,21
NA,decid_2_to_mixt_1 [Type],0.0018112918636384867,0,5,12,21
NA,decid_3_to_mixt_1 [Type],0,0,5,13,21
NA,mixt_2_to_mixt_1 [Type],0.17543456806027635,0,5,22,21
NA,mixt_3_to_mixt_1 [Type],0.003955190185755408,0,5,23,21
NA,conif_1_to_mixt_1 [Type],0.6018010950985764,0,5,31,21
NA,conif_2_to_mixt_1 [Type],0.10258451171672489,0,5,32,21
NA,conif_3_to_mixt_1 [Type],0.054516317465291175,0,5,33,21
NA,decid_1_to_mixt_2 [Type],7.788500164768175e-4,0,5,11,22
NA,decid_2_to_mixt_2 [Type],0.0029534230159539154,0,5,12,22
NA,decid_3_to_mixt_2 [Type],0,0,5,13,22
NA,mixt_1_to_mixt_2 [Type],0.05195965918908385,0,5,21,22
NA,mixt_3_to_mixt_2 [Type],0.3213791074617036,0,5,23,22
NA,conif_1_to_mixt_2 [Type],0,0,5,31,22
NA,conif_2_to_mixt_2 [Type],0.15362354036002046,0,5,32,22
NA,conif_3_to_mixt_2 [Type],0.16153097670199945,0,5,33,22
NA,decid_1_to_mixt_3 [Type],0,0,5,11,23
NA,decid_2_to_mixt_3 [Type],0,0,5,12,23
NA,decid_3_to_mixt_3 [Type],0,0,5,13,23
NA,mixt_1_to_mixt_3 [Type],0,0,5,21,23
NA,mixt_2_to_mixt_3 [Type],0.017197241092502646,0,5,22,23
NA,conif_1_to_mixt_3 [Type],0,0,5,31,23
NA,conif_2_to_mixt_3 [Type],0.0018106116609112322,0,5,32,23
NA,conif_3_to_mixt_3 [Type],0.015268072165338098,0,5,33,23
NA,decid_1_to_conif_1 [Type],0,0,5,11,31
NA,decid_2_to_conif_1 [Type],0,0,5,12,31
NA,decid_3_to_conif_1 [Type],0,0,5,13,31
NA,mixt_1_to_conif_1 [Type],6.099421122510718e-4,0,5,21,31
NA,mixt_2_to_conif_1 [Type],2.2964749412934804e-4,0,5,22,31
NA,mixt_3_to_conif_1 [Type],0,0,5,23,31
NA,conif_2_to_conif_1 [Type],0.0654563013177265,0,5,32,31
NA,conif_3_to_conif_1 [Type],0.06256313343890774,0,5,33,31
NA,decid_1_to_conif_2 [Type],0,0,5,11,32
NA,decid_2_to_conif_2 [Type],0,0,5,12,32
NA,decid_3_to_conif_2 [Type],0,0,5,13,32
NA,mixt_1_to_conif_2 [Type],0,0,5,21,32
NA,mixt_2_to_conif_2 [Type],0.005988077791550195,0,5,22,32
NA,mixt_3_to_conif_2 [Type],0,0,5,23,32
NA,conif_1_to_conif_2 [Type],0.0031762917720042916,0,5,31,32
NA,conif_3_to_conif_2 [Type],0.18908955021176477,0,5,33,32
NA,decid_1_to_conif_3 [Type],0,0,5,11,33
NA,decid_2_to_conif_3 [Type],0,0,5,12,33
NA,decid_3_to_conif_3 [Type],0,0,5,13,33
NA,mixt_1_to_conif_3 [Type],0,0,5,21,33
NA,mixt_2_to_conif_3 [Type],9.763664275603823e-4,0,5,22,33
NA,mixt_3_to_conif_3 [Type],0,0,5,23,33
NA,conif_1_to_conif_3 [Type],0,0,5,31,33
NA,conif_2_to_conif_3 [Type],0.025283446893331618,0,5,32,33
NA,decid_2_to_decid_1 [Type],0.06584158371995541,0,6,12,11
NA,decid_3_to_decid_1 [Type],0.04387196626786383,0,6,13,11
NA,mixt_1_to_decid_1 [Type],0.08337238446192885,0,6,21,11
NA,mixt_2_to_decid_1 [Type],0.037354345217481266,0,6,22,11
NA,mixt_3_to_decid_1 [Type],0.0011855368720602444,0,6,23,11
NA,conif_1_to_decid_1 [Type],0.002042903052972611,0,6,31,11
NA,conif_2_to_decid_1 [Type],0.001483680342337368,0,6,32,11
NA,conif_3_to_decid_1 [Type],0,0,6,33,11
NA,decid_1_to_decid_2 [Type],0.10994597372990156,0,6,11,12
NA,decid_3_to_decid_2 [Type],0.5096151683041042,0,6,13,12
NA,mixt_1_to_decid_2 [Type],0.009061675538483471,0,6,21,12
NA,mixt_2_to_decid_2 [Type],0.04102128286909046,0,6,22,12
NA,mixt_3_to_decid_2 [Type],0.1278397468876462,0,6,23,12
NA,conif_1_to_decid_2 [Type],0,0,6,31,12
NA,conif_2_to_decid_2 [Type],3.7071363646468125e-4,0,6,32,12
NA,conif_3_to_decid_2 [Type],0.019220241843178942,0,6,33,12
NA,decid_1_to_decid_3 [Type],0,0,6,11,13
NA,decid_2_to_decid_3 [Type],0.024233174235363864,0,6,12,13
NA,mixt_1_to_decid_3 [Type],0,0,6,21,13
NA,mixt_2_to_decid_3 [Type],1.4993627792492248e-4,0,6,22,13
NA,mixt_3_to_decid_3 [Type],0.014320548533827915,0,6,23,13
NA,conif_1_to_decid_3 [Type],0,0,6,31,13
NA,conif_2_to_decid_3 [Type],0,0,6,32,13
NA,conif_3_to_decid_3 [Type],0.0063654370594535825,0,6,33,13
NA,decid_1_to_mixt_1 [Type],0.003945496016391714,0,6,11,21
NA,decid_2_to_mixt_1 [Type],7.064309639051025e-4,0,6,12,21
NA,decid_3_to_mixt_1 [Type],4.5903146784009863e-4,0,6,13,21
NA,mixt_2_to_mixt_1 [Type],0.1852190073602502,0,6,22,21
NA,mixt_3_to_mixt_1 [Type],0,0,6,23,21
NA,conif_1_to_mixt_1 [Type],0.5550739570743595,0,6,31,21
NA,conif_2_to_mixt_1 [Type],0.07069775172797521,0,6,32,21
NA,conif_3_to_mixt_1 [Type],0.0703693217360224,0,6,33,21
NA,decid_1_to_mixt_2 [Type],0.002060472513959355,0,6,11,22
NA,decid_2_to_mixt_2 [Type],0.0020972040757377686,0,6,12,22
NA,decid_3_to_mixt_2 [Type],1.1473811064099948e-4,0,6,13,22
NA,mixt_1_to_mixt_2 [Type],0.032086951166018896,0,6,21,22
NA,mixt_3_to_mixt_2 [Type],0.38041444826063686,0,6,23,22
NA,conif_1_to_mixt_2 [Type],0,0,6,31,22
NA,conif_2_to_mixt_2 [Type],0.14680211724875447,0,6,32,22
NA,conif_3_to_mixt_2 [Type],0.10514726277459652,0,6,33,22
NA,decid_1_to_mixt_3 [Type],0,0,6,11,23
NA,decid_2_to_mixt_3 [Type],4.707987102725575e-5,0,6,12,23
NA,decid_3_to_mixt_3 [Type],0,0,6,13,23
NA,mixt_1_to_mixt_3 [Type],0,0,6,21,23
NA,mixt_2_to_mixt_3 [Type],0.01998990305969428,0,6,22,23
NA,conif_1_to_mixt_3 [Type],0,0,6,31,23
NA,conif_2_to_mixt_3 [Type],0.001483680342337368,0,6,32,23
NA,conif_3_to_mixt_3 [Type],0.02440958914809288,0,6,33,23
NA,decid_1_to_conif_1 [Type],0,0,6,11,31
NA,decid_2_to_conif_1 [Type],0,0,6,12,31
NA,decid_3_to_conif_1 [Type],0,0,6,13,31
NA,mixt_1_to_conif_1 [Type],0,0,6,21,31
NA,mixt_2_to_conif_1 [Type],0,0,6,22,31
NA,mixt_3_to_conif_1 [Type],0,0,6,23,31
NA,conif_2_to_conif_1 [Type],0.0595964779496756,0,6,32,31
NA,conif_3_to_conif_1 [Type],0.09107638825933506,0,6,33,31
NA,decid_1_to_conif_2 [Type],0,0,6,11,32
NA,decid_2_to_conif_2 [Type],0,0,6,12,32
NA,decid_3_to_conif_2 [Type],0,0,6,13,32
NA,mixt_1_to_conif_2 [Type],0,0,6,21,32
NA,mixt_2_to_conif_2 [Type],0.0015754539210819374,0,6,22,32
NA,mixt_3_to_conif_2 [Type],0,0,6,23,32
NA,conif_1_to_conif_2 [Type],0.009226235177159925,0,6,31,32
NA,conif_3_to_conif_2 [Type],0.18609794924490453,0,6,33,32
NA,decid_1_to_conif_3 [Type],0,0,6,11,33
NA,decid_2_to_conif_3 [Type],0,0,6,12,33
NA,decid_3_to_conif_3 [Type],0,0,6,13,33
NA,mixt_1_to_conif_3 [Type],0,0,6,21,33
NA,mixt_2_to_conif_3 [Type],6.748904071964823e-4,0,6,22,33
NA,mixt_3_to_conif_3 [Type],0,0,6,23,33
NA,conif_1_to_conif_3 [Type],0,0,6,31,33
NA,conif_2_to_conif_3 [Type],0.022491632086838798,0,6,32,33
NA,decid_2_to_decid_1 [Type],0.08013378899220025,0,7,12,11
NA,decid_3_to_decid_1 [Type],0.036442191991636674,0,7,13,11
NA,mixt_1_to_decid_1 [Type],0.054339845529429054,0,7,21,11
NA,mixt_2_to_decid_1 [Type],0.03408101687835263,0,7,22,11
NA,mixt_3_to_decid_1 [Type],0.0022962142816650433,0,7,23,11
NA,conif_1_to_decid_1 [Type],0,0,7,31,11
NA,conif_2_to_decid_1 [Type],0.00574038171502278,0,7,32,11
NA,conif_3_to_decid_1 [Type],0,0,7,33,11
NA,decid_1_to_decid_2 [Type],0.12140250371572192,0,7,11,12
NA,decid_3_to_decid_2 [Type],0.4951044671364718,0,7,13,12
NA,mixt_1_to_decid_2 [Type],0.00662990735116098,0,7,21,12
NA,mixt_2_to_decid_2 [Type],0.0596260163378195,0,7,22,12
NA,mixt_3_to_decid_2 [Type],0.18163286317069038,0,7,23,12
NA,conif_1_to_decid_2 [Type],0,0,7,31,12
NA,conif_2_to_decid_2 [Type],0.0016849211631647654,0,7,32,12
NA,conif_3_to_decid_2 [Type],0,0,7,33,12
NA,decid_1_to_decid_3 [Type],0,0,7,11,13
NA,decid_2_to_decid_3 [Type],0.02569689141105458,0,7,12,13
NA,mixt_1_to_decid_3 [Type],0,0,7,21,13
NA,mixt_2_to_decid_3 [Type],0.0022473880946346503,0,7,22,13
NA,mixt_3_to_decid_3 [Type],0.0542223237758056,0,7,23,13
NA,conif_1_to_decid_3 [Type],0,0,7,31,13
NA,conif_2_to_decid_3 [Type],0,0,7,32,13
NA,conif_3_to_decid_3 [Type],0.0013976247221246796,0,7,33,13
NA,decid_1_to_mixt_1 [Type],0.0057661986289360145,0,7,11,21
NA,decid_2_to_mixt_1 [Type],0.0025434851054679797,0,7,12,21
NA,decid_3_to_mixt_1 [Type],0,0,7,13,21
NA,mixt_2_to_mixt_1 [Type],0.17045990817558976,0,7,22,21
NA,mixt_3_to_mixt_1 [Type],0.0022962142816650433,0,7,23,21
NA,conif_1_to_mixt_1 [Type],0.5431037221051052,0,7,31,21
NA,conif_2_to_mixt_1 [Type],0.06544092032623594,0,7,32,21
NA,conif_3_to_mixt_1 [Type],0.06945081392250041,0,7,33,21
NA,decid_1_to_mixt_2 [Type],3.194718147658815e-4,0,7,11,22
NA,decid_2_to_mixt_2 [Type],0.003799705463990777,0,7,12,22
NA,decid_3_to_mixt_2 [Type],0,0,7,13,22
NA,mixt_1_to_mixt_2 [Type],0.038173543637631924,0,7,21,22
NA,mixt_3_to_mixt_2 [Type],0.2642796702076766,0,7,23,22
NA,conif_1_to_mixt_2 [Type],0,0,7,31,22
NA,conif_2_to_mixt_2 [Type],0.1366029039575446,0,7,32,22
NA,conif_3_to_mixt_2 [Type],0.0739644178319383,0,7,33,22
NA,decid_1_to_mixt_3 [Type],0,0,7,11,23
NA,decid_2_to_mixt_3 [Type],0,0,7,12,23
NA,decid_3_to_mixt_3 [Type],0,0,7,13,23
NA,mixt_1_to_mixt_3 [Type],0,0,7,21,23
NA,mixt_2_to_mixt_3 [Type],0.017947272287833105,0,7,22,23
NA,conif_1_to_mixt_3 [Type],0,0,7,31,23
NA,conif_2_to_mixt_3 [Type],0.0013477095072592649,0,7,32,23
NA,conif_3_to_mixt_3 [Type],0.00771129629105427,0,7,33,23
NA,decid_1_to_conif_1 [Type],0,0,7,11,31
NA,decid_2_to_conif_1 [Type],0,0,7,12,31
NA,decid_3_to_conif_1 [Type],0,0,7,13,31
NA,mixt_1_to_conif_1 [Type],0,0,7,21,31
NA,mixt_2_to_conif_1 [Type],3.454231536561547e-4,0,7,22,31
NA,mixt_3_to_conif_1 [Type],0,0,7,23,31
NA,conif_2_to_conif_1 [Type],0.05754815071777375,0,7,32,31
NA,conif_3_to_conif_1 [Type],0.11878702185614509,0,7,33,31
NA,decid_1_to_conif_2 [Type],0,0,7,11,32
NA,decid_2_to_conif_2 [Type],0,0,7,12,32
