StratumID,TransitionGroupID,Amount,Timestep,TertiaryStratumID,srcClassID,destClassID
NA,mixt_3_to_decid_2 [Type],0.19704493145303392,0,5,23,12
NA,conif_1_to_decid_2 [Type],0,0,5,31,12
NA,conif_2_to_decid_2 [Type],0.006169538112562156,0,5,32,12
NA,conif_3_to_decid_2 [Type],0.012195578184843403,0,5,33,12
NA,decid_1_to_decid_3 [Type],0,0,5,11,13
NA,decid_2_to_decid_3 [Type],0.02150011770035909,0,5,12,13
NA,mixt_1_to_decid_3 [Type],0,0,5,21,13
NA,mixt_2_to_decid_3 [Type],2.2964749412934804e-4,0,5,22,13
NA,mixt_3_to_decid_3 [Type],0.022624351697497658,0,5,23,13
NA,conif_1_to_decid_3 [Type],0,0,5,31,13
NA,conif_2_to_decid_3 [Type],0,0,5,32,13
NA,conif_3_to_decid_3 [Type],0,0,5,33,13
NA,decid_1_to_mixt_1 [Type],0.005638735036649023,0,5,11,21
NA,decid_2_to_mixt_1 [Type],0.0016322525889577166,0,5,12,21
NA,decid_3_to_mixt_1 [Type],0,0,5,13,21
NA,mixt_2_to_mixt_1 [Type],0.1760613757768137,0,5,22,21
NA,mixt_3_to_mixt_1 [Type],0.007926148759181517,0,5,23,21
NA,conif_1_to_mixt_1 [Type],0.6208388027096456,0,5,31,21
NA,conif_2_to_mixt_1 [Type],0.10824649561078314,0,5,32,21
NA,conif_3_to_mixt_1 [Type],0.05853112830872842,0,5,33,21
NA,decid_1_to_mixt_2 [Type],0.001038601630410363,0,5,11,22
NA,decid_2_to_mixt_2 [Type],0.0026397665787907254,0,5,12,22
NA,decid_3_to_mixt_2 [Type],0,0,5,13,22
NA,mixt_1_to_mixt_2 [Type],0.044910935068765645,0,5,21,22
NA,mixt_3_to_mixt_2 [Type],0.289181346689089,0,5,23,22
NA,conif_1_to_mixt_2 [Type],0,0,5,31,22
NA,conif_2_to_mixt_2 [Type],0.15234212182210682,0,5,32,22
NA,conif_3_to_mixt_2 [Type],0.16606082628614638,0,5,33,22
NA,decid_1_to_mixt_3 [Type],0,0,5,11,23
NA,decid_2_to_mixt_3 [Type],0,0,5,12,23
NA,decid_3_to_mixt_3 [Type],0,0,5,13,23
NA,mixt_1_to_mixt_3 [Type],0,0,5,21,23
NA,mixt_2_to_mixt_3 [Type],0.016379844252776166,0,5,22,23
NA,conif_1_to_mixt_3 [Type],0,0,5,31,23
NA,conif_2_to_mixt_3 [Type],0.0010859731710348708,0,5,32,23
NA,conif_3_to_mixt_3 [Type],0.011428946775838833,0,5,33,23
NA,decid_1_to_conif_1 [Type],0,0,5,11,31
NA,decid_2_to_conif_1 [Type],0,0,5,12,31
NA,decid_3_to_conif_1 [Type],0,0,5,13,31
NA,mixt_1_to_conif_1 [Type],0,0,5,21,31
NA,mixt_2_to_conif_1 [Type],3.4449102474831683e-4,0,5,22,31
NA,mixt_3_to_conif_1 [Type],0,0,5,23,31
NA,conif_2_to_conif_1 [Type],0.06778200471238438,0,5,32,31
NA,conif_3_to_conif_1 [Type],0.060948253918783224,0,5,33,31
NA,decid_1_to_conif_2 [Type],0,0,5,11,32
NA,decid_2_to_conif_2 [Type],0,0,5,12,32
NA,decid_3_to_conif_2 [Type],0,0,5,13,32
NA,mixt_1_to_conif_2 [Type],0,0,5,21,32
NA,mixt_2_to_conif_2 [Type],0.00506448927898584,0,5,22,32
NA,mixt_3_to_conif_2 [Type],0,0,5,23,32
